n;identifier;prob_member;RA_J2000;DE_J2000
79;Cl* Melotte 25 LH 111 ;25;4.45519;13.9188
115;[BKM2008] HB8Ic08-171l ;25;4.35478;14.4483
130;[BKM2008] HB13c11-245l ;25;4.55706;14.6078
18;[BKM2008] HC13c09-1062l ;25;4.45833;13.8517
160;LP 475-56 ;75;4.40875;13.9281
120;2MASS J04342103+1451171 ;75;4.57251;14.8548
180;V* V985 Tau ;100;4.30535;16.0883
24;2MASS J04282241+1349219 ;75;4.47289;13.8228
91;HD 28406 ;100;4.49176;17.8632
67;V* V921 Tau ;100;4.49211;17.8932
94;2MASS J04263219+1800280 ;25;4.44228;18.0078
26;[BKM2008] HC02c07-578l ;25;4.37444;17.7317
15;[BKM2008] HC17c02-1196l ;25;4.59633;15.6614
72;Cl* Melotte 25 VA 273 ;25;4.39050;17.8960
19;2MASS J04264070+1804182 ;25;4.44464;18.0718
63;[BKM2008] HC15c09-213l ;25;4.55247;14.1778
53;[BKM2008] HC19c03-2076l ;25;4.48917;13.6700
111;[BKM2008] HC09c11-32s ;25;4.30594;16.8594
39;LP 475-855 ;75;4.48413;13.6330
30;[BKM2008] HC15c10-170l ;25;4.55861;14.1617
158;HD 29225 ;100;4.61131;15.8693
118;2MASS J04172478+1634364 ;75;4.29022;16.5768
27;2MASS J04345750+1428083 ;25;4.58264;14.4690
154;2MASS J04174850+1655589 ;25;4.29681;16.9330
169;[BKM2008] HC03c04-2872l ;25;4.43514;18.3403
148;2MASS J04174112+1701150 ;25;4.29476;17.0208
135;LP 414-2008 ;75;4.29229;16.9498
165;2MASS J04190576+1734235 ;75;4.31827;17.5732
54;[BKM2008] HC10c10-1796l ;25;4.30750;17.4117
100;2MASS J04360314+1435369 ;25;4.60088;14.5936
71;2MASS J04252726+1824220 ;25;4.42424;18.4061
167;[BKM2008] HC24c02-487s ;25;4.58622;14.2142
61;[BKM2008] HC18c10-169l ;25;4.45411;13.2606
5;2MASS J04291927+1317214 ;25;4.48869;13.2893
109;Cl* Melotte 25 LH 246 ;25;4.28302;17.1028
117;V* V1099 Tau ;100;4.26286;15.4007
156;[BKM2008] HC21c11-74l ;25;4.61281;14.3269
134;Cl* Melotte 25 CFHT 20 ;75;4.51075;13.1658
2;HD 27534 ;100;4.35896;18.4176
51;2MASS J04235666+1838201 ;100;4.39908;18.6389
74;[BKM2008] HC10c01-87l ;25;4.28061;17.7153
58;[BKM2008] HC10c00-26l ;25;4.27681;17.7239
37;HD 28911 ;100;4.56296;13.2519
40;[BKM2008] HC06c07-1993l ;25;4.31836;18.3542
36;2MASS J04162161+1742486 ;25;4.27267;17.7135
45;LP 414-158 ;75;4.30939;18.3647
157;[BKM2008] HC06c02-152l ;25;4.32278;18.5783
93;HD 26756 ;100;4.24046;14.6250
11;[BKM2008] HC06c01-591l ;25;4.31306;18.5217
