HIP;RA_J2000;DE_J2000
23728;5.101459;3.788480
25896;5.528065;9.225990
25687;5.485546;24.215180
28431;6.004168;15.131072
15057;3.233716;24.265279
16662;3.573702;20.374099
15975;3.428292;13.621355
20412;4.372000;22.662404
26692;5.671905;15.350079
28832;6.086048;7.128019
21732;4.666643;7.271251
23770;5.108898;10.643718
19163;4.109473;21.956519
27360;5.794402;4.852590
27972;5.916243;17.401937
18393;3.932395;4.071004
22376;4.817326;15.863200
23404;5.029905;11.375287
18626;3.986873;15.814538
22732;4.890196;7.679338
23003;4.947869;6.030079
25287;5.409652;15.975274
25413;5.435203;22.821765
25886;5.526591;14.928902
15433;3.314712;7.289964
27683;5.860699;21.541140
14310;3.076535;21.723979
24269;5.208329;17.213264
27900;5.903708;10.586403
16934;3.631936;9.932835
23846;5.126638;4.541772
24515;5.258688;5.759729
26647;5.663295;14.799191
25904;5.528869;8.466548
26215;5.587011;10.240093
23153;4.981396;8.974450
23406;5.030206;11.383150
25477;5.448410;3.614673
26421;5.622990;3.539528
26992;5.726819;6.888496
27614;5.846850;14.443362
28373;5.994172;19.913667
16737;3.588437;18.903079
23574;5.068173;17.124875
24841;5.325462;6.375988
27146;5.754759;13.708460
28513;6.018792;23.304858
22872;4.919818;20.313810
23479;5.046491;6.191839
19403;4.156279;18.906740
20774;4.450437;19.843306
21015;4.506361;8.931843
22441;4.828912;15.904221
27965;5.915746;19.749614
21677;4.653762;22.652255
19216;4.119021;21.262891
21633;4.646171;6.820353
26341;5.609297;12.100732
19328;4.142239;8.444857
19977;4.284178;6.347413
26212;5.586888;9.613263
26449;5.627277;23.147453
22356;4.812509;20.359628
26138;5.573495;3.561382
27343;5.791489;22.922483
14861;3.198878;10.964451
19313;4.139794;8.330341
28314;5.982705;14.351954
24446;5.244263;15.208154
26839;5.699215;24.318539
27747;5.873168;19.867849
23191;4.990464;20.194069
25470;5.446750;13.582189
25893;5.527552;18.244110
20391;4.366504;22.256316
25823;5.514284;7.091120
28192;5.957942;3.537876
23426;5.034864;21.320788
25972;5.542431;9.669679
16178;3.473452;5.985873
24584;5.274431;7.293906
25917;5.531278;11.204168
28196;5.958380;6.391184
18564;3.974225;11.905790
23371;5.024933;23.104222
14847;3.195655;23.987068
16841;3.612475;13.291833
20216;4.331906;10.618996
20956;4.493226;3.838550
28540;6.025100;4.912870
28784;6.077333;8.221241
26916;5.713789;19.847495
27388;5.800389;22.510783
17128;3.668665;4.630341
19785;4.240673;23.696422
26294;5.599515;9.531723
20600;4.411934;18.913073
14451;3.109084;24.221403
16778;3.598754;9.565932
13650;2.929219;7.281069
16414;3.522534;17.938176
16845;3.613066;4.474364
27157;5.757073;6.297877
27203;5.766289;23.747423
28750;6.071379;6.491108
27697;5.864470;19.521369
14897;3.204223;14.039531
21768;4.675733;24.442034
16706;3.582929;17.710568
28456;6.007874;10.218042
20209;4.331031;23.757861
24103;5.177763;17.440238
25392;5.431766;15.453864
19985;4.286503;5.024567
23094;4.969842;15.798595
25306;5.413337;24.106346
27338;5.790610;17.729141
19701;4.220309;6.600489
28129;5.945618;16.017186
22549;4.853434;5.605104
28519;6.019593;19.420434
21871;4.702473;8.852953
21875;4.702916;19.805196
25908;5.529511;19.551203
20660;4.426895;5.645343
24132;5.183056;14.921793
25867;5.522320;19.023552
27877;5.899549;21.836298
15939;3.420561;21.214069
25011;5.355363;4.011948
26792;5.690521;9.198347
23974;5.152590;13.965194
16119;3.460948;22.897808
18063;3.860717;10.843438
23151;4.981321;24.495712
24570;5.270878;3.489671
17961;3.839878;19.254348
15299;3.289560;5.752984
27301;5.784277;17.730540
15077;3.239868;9.201682
26677;5.669327;19.680334
16703;3.582623;21.017630
27816;5.885887;4.096687
15542;3.337603;6.221521
24302;5.214801;13.921464
25268;5.404353;20.140013
28167;5.952107;17.010765
24522;5.260958;8.823499
24762;5.308853;4.176038
17379;3.721696;12.793943
17909;3.829850;21.160041
25204;5.391846;18.600691
27856;5.893502;14.432751
14292;3.070890;21.472892
14802;3.185994;6.867073
19542;4.185695;21.885124
20165;4.321883;9.299031
22914;4.931157;13.630912
27009;5.729323;9.914567
28004;5.924065;8.411557
16117;3.460585;16.662985
26627;5.659596;9.848471
16604;3.562250;9.684103
25742;5.496527;12.270631
27934;5.910398;15.507686
