"","HIP","RA_J2000","DE_J2000","Plx","pmRA","pmDE","Vmag","BV","hyades","clusterNum"
"2576",18531,3.96314,22.9244,27.72,157.34,11,8.78,0,0,2
"2578",18975,4.06572,8.19727,27.8,168.35,27.98,5.45,0.371,0,2
"2579",19767,4.23841,12.3481,27.98,341.22,-59.45,6.74,0.677,0,2
"2580",25873,5.52321,12.5561,28,172.35,-136.2,8.4,0.814,0,2
"2584",20745,4.44523,12.6866,28.27,123.44,-16.78,10.5,1.358,0,2
"2586",17794,3.80915,15.202,28.41,95.08,-89.59,9.45,1.08,0,2
"2590",19117,4.09845,11.9662,29.02,216.53,17.79,10.06,1.12,0,2
"2591",14230,3.05796,23.0615,29.62,111.75,3.47,7.09,0.624,0,2
"2594",19441,4.16371,9.3055,29.78,156.7,-2.81,10.1,1.192,0,2
"2595",19472,4.17057,17.3684,29.88,414.43,-152.23,9.07,1.07,0,2
"2597",19981,4.28524,22.6733,30.56,117.96,-42.19,9.77,1.23,0,2
"2598",17936,3.8358,6.62069,30.74,59.66,-40.52,7.72,0.684,0,2
"2599",14023,3.01003,5.98606,30.87,698.12,-157.87,8.11,0.838,0,2
"2600",19862,4.25936,15.7063,31.11,112.78,-25.84,10.96,0.924,0,2
"2603",13834,2.96812,20.6687,31.41,234.79,-31.64,5.8,0.415,1,2
"2606",14258,3.06412,6.1333,31.75,231.78,48.42,6.92,0.552,0,2
"2607",19834,4.25289,14.3985,31.94,118.87,-11.92,11.56,1.363,0,2
"2610",15563,3.34144,8.45444,34.18,228.24,2.51,9.65,1.13,0,2
"2612",24205,5.19624,4.40354,34.85,180.83,-137.32,7,0.588,0,2
"2619",22715,4.88465,22.2352,37.09,149.22,-129.31,8.78,1.019,0,2
"2622",13601,2.9215,16.3092,38.3,203.76,-47.24,7.41,0.749,0,2
"2627",13976,3.00078,7.74975,42.66,329.79,19.67,7.97,0.926,0,2
"2630",17496,3.74753,11.92,45.87,315.63,126.16,9.13,1.179,0,2
"2631",26844,5.69969,15.3372,46.51,78.74,-44.01,10.72,1.689,0,2
"2636",15844,3.4018,23.785,50.54,217.18,-129.17,10.38,1.51,0,2
"2640",19076,4.08896,22.0089,59.79,172.61,-130.08,5.9,0.62,0,2
"2642",23835,5.12417,18.6451,63.02,536.05,18.51,4.91,0.657,0,2
"2643",25278,5.40707,17.3835,68.19,250.4,-7.42,5,0.544,0,2
"2644",25220,5.39399,17.3241,69.76,253.35,-4.66,7.93,1.104,0,2
"2647",24284,5.21173,19.6656,78.5,275.09,238.42,10.82,1.55,0,2
"2649",21000,4.5035,5.29882,84.76,106.9,119.86,9.83,0.6,0,2
"2655",22449,4.83067,6.96128,124.6,463.44,11.62,3.19,0.484,0,2
"2725",14601,3.14191,10.4459,0.89,66.42,-88.06,9.81,0.473,0,2
"2944",23574,5.06817,17.1249,2.26,98.52,-51.59,8.78,1.028,0,2
"2994",17128,3.66866,4.63034,2.47,132.5,2.18,10.04,0.643,0,2
"3009",16706,3.58293,17.7106,2.54,67.34,-41.49,9.85,0.7,0,2
"3252",14993,3.22081,21.6447,3.41,64.98,-38.58,8.23,0.496,0,2
"3319",19003,4.07188,12.5074,3.6,59.22,-17.95,7.45,1.913,0,2
"3419",23599,5.07411,10.1868,3.98,112.43,-94.14,10.32,0.59,0,2
"3432",24351,5.22553,5.76817,4.04,60.28,-30.42,8.1,0.995,0,2
"3540",18995,4.06972,23.4075,4.39,90.45,-116.79,8.2,0.657,0,2
"3542",19189,4.11244,5.68683,4.4,70.32,15.57,8.51,0.587,0,2
"3585",15593,3.34708,6.43323,4.55,61.86,-13.95,9.61,0.559,0,2
"3604",17792,3.80855,9.64595,4.61,72.36,10.28,6.68,1.2,0,2
"3708",20226,4.33446,23.5988,4.91,140.66,-35.19,7.19,1.113,0,2
"3759",14792,3.18364,9.98965,5.13,165.72,-22.58,9.65,0.604,0,2
"3762",24543,5.26553,21.822,5.15,245.77,16.44,10.24,0.681,0,2
"3801",16362,3.51306,5.36703,5.3,80.03,-8.41,7.03,0.95,0,2
"3825",15918,3.41649,10.01,5.37,87.46,-10.7,7.96,1.034,0,2
"3924",15072,3.2381,22.9538,5.8,59.19,-8.35,6.76,1.111,0,2
"3940",23049,4.96033,17.3922,5.85,69.62,-104.11,9.18,0.708,0,2
"3975",17643,3.78049,11.1841,5.99,97.51,-55.94,8.27,1.072,0,2
"4010",19538,4.18499,6.71851,6.14,54.6,-22.39,8.77,0.492,0,2
"4022",17066,3.65794,6.7366,6.2,68.78,-2.92,9.3,0.823,0,2
"4033",23382,5.02688,12.3409,6.24,53.1,-116.5,7.66,1.038,0,2
"4085",15612,3.35036,19.4763,6.44,63.85,-56.74,7.96,0.594,0,2
"4089",20352,4.35913,16.803,6.46,39.1,-105.18,9.17,0.554,0,2
"4111",20540,4.40126,12.9724,6.58,69.19,-36.4,7.7,1,0,2
"4123",16950,3.63469,20.2339,6.62,68.27,-45.28,9.45,0.756,0,2
"4125",17605,3.77115,7.69261,6.63,102.05,-70.69,10.09,0.68,0,2
"4145",15978,3.42896,5.93543,6.68,63.95,-20.06,7.65,0.082,0,2
"4160",15954,3.4234,17.7438,6.77,57.93,-83.22,8.69,0.667,0,2
"4164",14111,3.03231,13.2393,6.78,83.96,-40.09,9.37,0.427,0,2
"4181",23310,5.01313,4.56764,6.88,84.73,-35.94,6.69,1.032,0,2
"4215",28620,6.04189,13.2896,7.05,56.38,-64.33,7.9,0.485,0,2
"4232",22852,4.9164,5.38197,7.15,190.28,-43.36,12.39,0.57,0,2
"4244",13786,2.95796,16.2937,7.2,76.1,-39.81,6.9,1.2,0,2
"4248",21314,4.5762,20.3247,7.21,61.57,-103.21,9.93,0.573,0,2
"4256",15109,3.24811,15.5271,7.27,171.94,-56.02,9.51,0.642,0,2
"4283",14036,3.01226,10.8704,7.39,81.25,-34.38,5.93,1.593,0,2
"4297",17746,3.80009,16.9625,7.46,67.95,-17.66,7.98,0.406,0,2
"4304",17995,3.84618,8.44775,7.51,68.39,-37.33,8.04,0.525,0,2
"4317",15628,3.3539,3.85687,7.59,58.87,-14.04,8.9,0.389,0,2
"4323",16738,3.58869,11.3968,7.61,176.85,0.25,8.29,0.575,0,2
"4331",17779,3.80622,8.58038,7.65,92.26,-17.14,7.4,1.107,0,2
"4337",20952,4.49241,13.8947,7.68,176.16,-15.25,7.72,1.216,0,2
"4359",27263,5.77904,11.0504,7.78,56.64,-57.82,7.6,0.717,0,2
"4364",14477,3.11394,5.65004,7.82,56.57,-54.85,8.21,0.417,0,2
"4370",13533,2.90499,15.4955,7.86,84.54,-31.53,8.57,0.418,0,2
"4378",15083,3.24222,12.6569,7.88,69.3,-32.89,9.36,0.801,0,2
"4445",15054,3.23346,10.4533,8.27,63.36,-67.56,8.46,0.56,0,2
"4458",16488,3.5387,4.65013,8.36,134.47,-49.81,9.61,0.682,0,2
"4461",18368,3.92716,9.92902,8.4,56.53,-15.2,8.55,0.496,0,2
"4484",18346,3.92207,23.3604,8.61,69.97,-9.28,8.4,1.01,0,2
"4493",20810,4.45899,15.3654,8.66,86.29,-25.06,11.05,0.808,0,2
"4497",24602,5.27705,21.2325,8.68,53.11,-26.94,10.32,0.67,0,2
"4558",22105,4.75773,19.3489,9.08,132.08,-123.92,9.32,0.89,0,2
"4564",15668,3.36424,11.3094,9.15,65.11,-76.38,10.39,0.887,0,2
"4585",17408,3.72978,19.665,9.39,115.75,-56.56,6.13,0.994,0,2
"4605",21684,4.65487,11.2651,9.56,84.37,-58.8,9.68,0.72,0,2
"4617",22893,4.92397,10.2083,9.66,56.84,-19.85,9.16,0.543,0,2
"4623",18220,3.89593,13.505,9.72,65.2,-7.31,8.25,0.498,0,2
"4634",21332,4.57839,17.7482,9.87,67.96,-33.24,7.91,0.411,0,2
"4639",14702,3.16566,6.70482,9.95,109.46,-57.2,8.16,0.761,0,2
"4652",19617,4.20357,14.9324,10.08,55.36,-69.45,8.61,0.465,0,2
"4676",24030,5.16582,5.55743,10.29,271.4,-70.78,9.71,0.52,0,2
"4679",18449,3.94336,6.71056,10.35,78.23,-56.14,7.85,0.352,0,2
"4697",28139,5.94707,11.5211,10.62,105.96,-56.71,5.89,1.111,0,2
"4703",16813,3.60676,20.0676,10.69,95.66,-50.3,7.47,0.502,0,2
"4705",15206,3.26753,11.6284,10.74,194.35,-14.44,8.01,0.608,0,2
"4711",22176,4.77134,18.7347,10.81,73.03,-69.79,5.99,1.221,0,2
"4715",16374,3.51558,18.7994,10.83,131.32,-70.85,8.12,0.58,0,2
"4722",18692,4.00463,14.3059,10.93,54.46,-18.63,8.28,0.487,0,2
"4732",21321,4.57689,6.52368,11.11,112.23,-117.5,9.41,0.548,0,2
"4740",18096,3.86806,18.1348,11.19,69.95,-23.15,9.35,0.612,0,2
"4741",21442,4.60489,21.6892,11.19,61.76,-71.31,8.18,0.456,0,2
"4743",19388,4.15277,19.6092,11.21,107.44,-31.64,5.51,1.077,0,2
"4744",15619,3.35189,3.67562,11.23,56.05,-25.17,5.7,0.964,0,2
"4749",23807,5.11706,16.8274,11.26,51.76,-55.69,8.46,0.488,0,2
"4754",19696,4.21971,16.7668,11.33,147.29,-45.69,9.15,0.64,0,2
"4755",21226,4.55274,4.97012,11.35,55.34,-73.65,8.74,0.512,0,2
"4762",21953,4.71843,20.63,11.51,64.89,19.84,8.66,0.533,0,2
"4765",22751,4.89409,23.0203,11.62,65.74,-27.54,9.29,0.503,0,2
"4766",20319,4.35284,6.10354,11.64,669.26,-30.2,11.86,1.18,0,2
"4769",14054,3.01605,5.28794,11.69,189.55,-95.1,8.16,0.914,0,2
"4771",16896,3.62297,18.5969,11.73,142.33,-4.15,8.73,0.518,0,2
"4777",14132,3.03766,18.3292,11.94,114.8,-62.11,9.6,0.655,0,2
"4785",15134,3.25213,16.3034,12.13,133.29,-78.41,8.83,0.67,0,2
"4788",22684,4.87833,20.0006,12.14,72.14,-19.74,9.28,1.128,0,2
"4792",22157,4.76715,11.7056,12.24,67.48,-7.09,5.35,0.197,0,2
"4794",26828,5.69632,22.8704,12.32,194.34,-125.43,7.92,0.495,0,2
"4795",14098,3.03072,16.518,12.33,183.55,-59.25,8.24,0.504,0,2
"4796",23810,5.11731,16.8205,12.34,55.12,-55.52,10.3,0.821,0,2
"4799",15961,3.42527,17.1426,12.47,197.63,-65.59,9.43,0.7,0,2
"4803",24527,5.26203,12.8793,12.54,149.58,-121.02,8.96,0.673,0,2
"4805",17332,3.70974,6.98669,12.62,178.93,-99.71,10.9,0.9,0,2
"4813",18174,3.887,7.7705,12.75,59.26,-98.2,7.47,0.515,0,2
"4817",18618,3.98342,9.78169,12.85,95.92,-45.88,8.19,0.613,0,2
"4822",13982,3.00143,10.656,13.11,139.87,-77.08,7.51,0.475,0,2
"4826",19818,4.24982,5.17764,13.12,80.24,-45.94,9.56,0.625,0,2
"4828",23710,5.09705,13.2861,13.18,55.6,-103.29,7.86,0.844,0,2
"4835",19961,4.28023,5.61849,13.31,66.16,-75.73,12.19,1.391,0,2
"4836",22362,4.8142,5.54446,13.31,133.59,-107.63,10.57,0.96,0,2
"4838",26231,5.58901,13.2844,13.34,48.14,-60.88,8,0.496,0,2
"4843",17832,3.81582,23.8571,13.44,46.92,-56.45,6.47,0.377,0,2
"4845",28312,5.98253,18.9799,13.5,47.82,-49.08,8.47,0.606,0,2
"4851",22942,4.9364,13.9754,13.56,107.2,-71.78,8.81,0.78,0,2
"4853",13855,2.97327,19.2293,13.57,48.54,-60.45,8.78,0.652,0,2
"4856",16479,3.53668,3.87686,13.59,46.33,-79.44,8.3,0.418,0,2
"4861",15368,3.30213,8.04426,13.76,58.94,-3.7,11.47,0.9,0,2
"4862",23701,5.09455,6.46518,13.78,66.03,4.23,9.86,0.947,0,2
"4863",24283,5.21167,23.8933,13.8,243.28,-131.05,10.32,0.88,0,2
"4864",14152,3.04095,22.3735,13.81,101.08,-31.7,7.92,0.506,0,2
"4865",14676,3.1601,5.20288,13.83,71.03,-28.47,7.99,0.58,0,2
"4875",21503,4.61857,22.2843,14.29,201.54,-5.46,9.47,0.75,0,2
"4876",26676,5.66937,12.1781,14.3,271.77,-70.44,10.2,0.65,0,2
"4879",19082,4.09046,19.4422,14.56,123.06,-28.43,11.41,1.347,0,2
"4882",22850,4.91621,19.4854,14.67,63.32,-28.41,6.36,0.292,0,2
"4883",16083,3.45282,9.73268,14.68,53.61,-38.12,3.73,-0.082,0,2
"4886",15362,3.30126,6.48433,14.7,72.71,-111,8.8,0.702,0,2
"4887",22972,4.94326,23.2957,14.72,75.58,-105.55,7.51,0.516,0,2
"4890",22782,4.90085,17.0268,14.82,78.04,-0.66,7.22,0.536,0,2
"4895",20601,4.41201,4.69995,14.97,99.52,-1.15,8.93,0.758,0,2
"4897",21138,4.53124,15.4995,15.11,100.76,-23.42,11.02,1.28,0,2
"4898",15565,3.3427,12.3466,15.14,136.66,12.12,7.34,0.468,0,2
"4903",17235,3.69119,12.6079,15.26,45.86,-79.67,8.1,0.526,0,2
"4911",19971,4.28194,4.5427,15.44,170.16,4.61,7.84,0.644,0,2
"4914",16824,3.608,23.7973,15.66,53,-103.72,8.62,0.669,0,2
"4915",22253,4.79061,23.0509,15.74,77.6,-42.56,10.69,1.112,0,2
"4916",20482,4.38968,19.6587,15.82,98.53,-32.57,9.39,0.908,0,2
"4921",21741,4.66829,23.3045,15.96,74.68,-38.05,9.4,0.811,0,2
"4923",18347,3.92255,19.3809,16,182.14,-105.11,8.88,0.608,0,2
"4924",13589,2.91803,21.5951,16.01,146.33,-99.03,8.66,0.66,0,2
"4925",24289,5.21258,4.32109,16.01,229.55,-81.68,10.57,0.8,0,2
"4926",18719,4.01098,20.3804,16.04,142.36,-76.67,8.66,0.705,0,2
"4933",15453,3.32167,11.4559,16.45,207.65,55.3,11.22,0,0,2
"4936",24480,5.25322,20.0561,16.54,64.67,-36.47,7.72,0.687,0,2
"4937",19757,4.23559,9.40671,16.56,110.12,-7.26,11.09,1.21,0,2
"4944",23312,5.01358,4.73311,16.77,71.5,10.67,9.71,0.957,0,2
"4953",22566,4.85645,15.4335,17.14,67.63,-17.21,7.9,0.527,0,2
"4954",16548,3.55147,4.95811,17.2,121.87,20.31,11.88,1.378,0,2
"4955",22565,4.85624,18.8399,17.27,79.66,-32.76,5.08,0.214,0,2
"4957",20827,4.46307,14.4177,17.29,101.43,-20,9.48,0.929,0,2
"4962",13631,2.92564,18.7738,17.36,282.82,-146.54,9.74,0.839,0,2
"4967",14721,3.16942,18.3456,17.55,163.7,-58.68,8.69,0.682,0,2
"4968",21179,4.54046,13.1132,17.55,102.37,-18.77,11,1.194,0,2
"4969",21703,4.66014,13.1231,17.64,236.38,-141.18,8.93,0.83,0,2
"4973",25677,5.48392,10.2493,17.9,122.04,-79.77,10.98,1.629,0,2
"4975",13977,3.00085,9.17881,17.99,120.6,139.67,10.03,0.84,0,2
"4976",19038,4.07825,22.0819,18.04,91.73,-58.52,4.36,1.064,0,2
"4977",15074,3.23828,9.13091,18.08,273.8,-81.77,11.16,1.16,0,2
"4978",19789,4.24178,22.4519,18.12,95.09,-34.1,7.05,0.424,0,2
"4980",20087,4.30645,21.5793,18.25,96.42,-33.92,5.64,0.277,0,2
"4984",15278,3.28514,24.0352,18.4,107.1,6.09,8.96,0.719,0,2
"4985",20873,4.47317,14.741,18.42,109.72,-21.27,5.9,0.325,0,2
"4987",23498,5.05213,13.7307,18.44,65.95,-18.46,9,0.765,0,2
"4988",25082,5.36978,5.39531,18.46,49.12,-50.64,7.01,0.516,0,2
"4989",23983,5.15546,9.82958,18.54,63.54,-7.87,5.43,0.249,0,2
"4993",22826,4.91213,12.3522,18.58,92.23,-39.95,7.13,0.583,0,2
"4999",20567,4.40619,17.079,18.74,99.08,-27.93,6.96,0.45,0,2
"5000",23750,5.105,17.8164,18.78,64.38,-31.98,8.82,0.73,0,2
"5003",13600,2.92119,17.8917,18.89,117.79,-13.2,8.83,0.704,0,2
"5005",21475,4.61147,11.9124,18.93,165.74,-29.14,9.94,0.852,0,2
"5006",22654,4.8732,18.9969,18.93,78.66,-31.45,10.29,1.07,0,2
"5008",14803,3.1862,9.19637,19.13,238.1,-71.82,11.31,1.25,0,2
"5010",20419,4.3738,11.3057,19.17,115.03,-6.69,9.79,1.183,0,2
"5013",21926,4.71452,18.1449,19.22,61.63,-121.96,10.27,0.818,0,2
"5015",22350,4.8117,21.101,19.3,81.87,-46.43,9.06,0.843,0,2
"5016",22524,4.84682,16.2105,19.3,83.97,-24.87,7.29,0.536,0,2
"5018",14175,3.04627,12.354,19.33,196.19,14.14,10.21,1.382,0,2
"5019",20563,4.40471,18.0029,19.35,112.72,-33.2,9.99,1.05,0,2
"5021",22203,4.77511,15.472,19.42,91.37,-24.72,8.3,0.665,0,2
"5022",14838,3.19382,19.7267,19.44,154.61,-8.39,4.35,1.033,0,2
"5023",21670,4.65171,7.87098,19.44,91.87,-4.56,5.38,0.257,0,2
"5024",20357,4.35966,14.4098,19.46,105.19,-19.11,6.6,0.412,1,2
"5025",21112,4.52482,13.9035,19.46,92.6,-19.96,7.78,0.54,0,2
"5026",19870,4.26179,20.8198,19.48,111.21,-36.57,7.83,0.705,0,2
"5027",19934,4.27597,21.9075,19.48,105.61,-37.59,9.14,0.813,1,2
"5028",21788,4.6803,23.8096,19.48,63.12,-48.26,8.84,0.688,0,2
"5029",20349,4.35879,21.0399,19.55,105.2,-36,6.79,0.434,1,2
"5030",20086,4.30611,17.4216,19.57,120.57,-40.55,10.01,1.097,0,2
"5031",23069,4.96375,14.0022,19.66,67.17,-19.49,8.89,0.737,0,2
"5032",22422,4.82559,15.8887,19.68,87.37,-23.68,7.72,0.578,0,2
"5033",19263,4.12867,16.5188,19.7,123.1,-25.25,9.94,1.005,0,2
"5034",15572,3.34361,9.03355,19.71,287.04,-62.85,8.46,0.69,0,2
"5035",22688,4.87919,14.6231,19.75,200.05,-37.85,7.51,0.639,0,2
"5037",13674,2.93538,7.92254,19.81,186.3,-46.04,9.93,1.055,0,2
"5038",19098,4.09435,17.9377,19.81,126.34,-29.13,9.31,0.89,0,2
"5039",22265,4.79377,18.2587,19.81,78.87,-38.81,8.54,0.72,0,2
"5040",20350,4.35896,18.4176,19.83,111.05,-31.69,6.8,0.441,1,2
"5041",21008,4.50499,19.8406,19.94,94.9,-28.3,7.09,0.47,1,2
"5043",20082,4.30535,16.0883,20.01,121.88,-19.72,9.57,0.98,1,2
"5044",23497,5.0516,21.59,20.01,68.94,-40.85,4.62,0.155,0,2
"5047",20491,4.39178,24.4054,20.04,93.11,-45.08,7.18,0.462,1,2
"5048",20890,4.477,19.7407,20.09,99.83,-39.82,8.62,0.741,0,2
"5049",20187,4.32691,12.6243,20.13,168.47,-19.23,9.81,0.924,0,2
"5050",22550,4.85348,11.068,20.15,87.6,-8.72,6.79,0.543,1,2
"5051",15304,3.29066,7.65581,20.2,169.3,-7.64,7.38,0.567,0,2
"5053",20901,4.4806,13.0476,20.33,105.17,-15.08,5.02,0.215,0,2
"5054",20614,4.41587,19.042,20.4,110.73,-32.5,5.97,0.378,0,2
"5057",21683,4.65458,15.918,20.51,82.4,-19.53,4.67,0.147,0,2
"5058",27802,5.88327,15.1709,20.53,175.68,103.31,10.39,1.4,0,2
"5060",20916,4.48327,16.1591,20.58,90.28,-25.47,6.59,0.536,1,2
"5061",20480,4.38954,21.3791,20.63,99.77,-39.07,8.84,0.758,1,2
"5062",20885,4.47625,15.9622,20.66,104.76,-15.01,3.84,0.952,1,2
"5063",20577,4.40787,16.8862,20.73,110.89,-24.72,7.79,0.599,1,2
"5064",22044,4.74051,11.1461,20.73,98.87,-13.47,5.39,0.251,0,2
"5065",20679,4.42988,18.0173,20.79,112.62,-35.79,8.99,0.935,0,2
"5066",21654,4.64925,14.1056,20.81,103.31,-21.62,7.96,0.655,0,2
"5067",20842,4.46688,21.6199,20.85,98.82,-40.59,5.72,0.27,0,2
"5068",20713,4.4391,15.6183,20.86,114.66,-33.3,4.48,0.262,0,2
"5070",26444,5.62697,6.11201,21.01,93.4,-89.05,7.64,0.578,0,2
"5071",20889,4.47694,19.1804,21.04,107.23,-36.77,3.53,1.014,1,2
"5072",21261,4.56165,19.014,21.06,102.3,-34.96,10.74,1.197,0,2
"5073",20711,4.43846,22.8136,21.07,108.66,-45.83,4.28,0.263,0,2
"5074",19796,4.24287,10.7014,21.08,119.81,-5.22,7.11,0.514,1,2
"5075",20485,4.39036,15.7631,21.08,126.22,-30.5,10.47,1.231,0,2
"5076",20899,4.48008,17.2855,21.09,105.58,-30.05,7.83,0.609,1,2
"5077",21946,4.71706,18.7116,21.1,100.3,-93,9.92,1.122,0,2
"5078",20255,4.34031,18.7426,21.12,119.59,-48.17,6.11,0.404,0,2
"5079",20205,4.32989,15.6276,21.17,115.29,-23.86,3.65,0.981,1,2
"5080",20484,4.3903,16.7773,21.17,105.09,-27.62,5.64,0.31,0,2
"5081",20826,4.4628,11.7364,21.18,110.28,-12.11,7.49,0.56,0,2
"5082",20261,4.34342,15.0955,21.2,108.79,-20.67,5.26,0.225,0,2
"5083",20492,4.39231,14.6705,21.23,107.57,-18.24,9.11,0.855,1,2
"5084",20146,4.31889,17.5247,21.24,112.8,-29.89,8.47,0.721,0,2
"5086",19261,4.12833,15.1628,21.27,127.06,-22.75,6.02,0.397,1,2
"5087",20635,4.42282,22.2939,21.27,105.49,-44.14,4.21,0.136,0,2
"5088",20455,4.38225,17.5425,21.29,107.75,-28.84,3.77,0.983,1,2
"5089",20850,4.4679,13.8679,21.29,106.16,-17.59,9.02,0.839,0,2
"5091",21308,4.57506,10.0164,21.36,118.55,-68.94,7.72,0.615,0,2
"5093",17962,3.84027,17.2465,21.37,130.19,-23.3,9.46,0.782,0,2
"5094",22380,4.81765,18.6412,21.38,82.39,-40.86,8.98,0.833,0,2
"5095",21273,4.56414,14.8444,21.39,103.69,-25.94,4.65,0.255,0,2
"5097",20019,4.29415,16.9479,21.4,113.07,-21.39,8.32,0.756,0,2
"5099",19148,4.10448,15.6981,21.41,118.53,-19.59,7.85,0.593,0,2
"5100",20741,4.44448,16.7469,21.42,110.29,-27.82,8.1,0.664,1,2
"5101",20440,4.37894,15.0561,21.45,111.98,-19.88,6.97,0.518,0,2
"5102",20661,4.42703,15.941,21.47,104.62,-28.83,6.44,0.509,1,2
"5103",21983,4.72548,11.1667,21.48,97.8,24.92,10.29,1.16,0,2
"5107",20712,4.43847,21.4704,21.54,105.82,-36.48,7.36,0.557,1,2
"5109",20948,4.49176,17.8632,21.59,105.72,-32.56,6.9,0.451,1,2
"5110",16329,3.50845,20.1033,21.61,155.02,-63.38,8.29,0.739,0,2
"5111",15310,3.29244,7.69015,21.64,170.41,-7.48,7.78,0.617,1,2
"5114",19793,4.24231,23.5749,21.69,121.09,-48.34,8.05,0.657,0,2
"5116",20719,4.44017,16.8533,21.76,103.64,-17.58,8.04,0.651,0,2
"5117",21589,4.63596,12.5108,21.79,101.73,-14.9,4.27,0.122,0,2
"5118",20284,4.34798,13.8644,21.8,105.29,-17.97,6.15,0.456,0,2
"5119",21099,4.52103,20.1332,21.81,102.78,-41.08,8.59,0.734,0,2
"5120",20762,4.44843,13.1382,21.83,104.54,-18.1,10.48,1.146,0,2
"5121",20815,4.45997,15.5892,21.83,103.54,-25.16,7.41,0.537,1,2
"5122",20056,4.30051,18.2568,21.84,115.65,-31.23,7.53,0.681,0,2
"5123",21036,4.51038,13.7244,21.84,108.06,-19.71,5.4,0.263,0,2
"5124",20400,4.36764,14.0772,21.87,114.04,-21.4,5.72,0.315,0,2
"5125",20894,4.47771,15.8709,21.89,108.66,-26.39,3.4,0.179,0,2
"5126",19781,4.24046,14.625,21.91,105.61,-19.86,8.45,0.693,1,2
"5127",21588,4.63596,16.0333,21.96,113.05,-40.4,5.78,0.312,0,2
"5128",18735,4.01355,18.194,21.99,129.49,-28.27,5.89,0.319,0,2
"5129",20693,4.43259,5.15015,22.03,96.32,4.55,7.36,0.509,1,2
"5130",20648,4.42483,17.9279,22.05,108.26,-32.47,4.3,0.049,0,2
"5131",19786,4.2409,12.4353,22.19,117.48,-9.35,8.05,0.64,0,2
"5134",20553,4.40346,14.7582,22.25,97.38,-33.51,7.58,0.604,0,2
"5135",21137,4.53104,15.8516,22.25,107.59,-32.38,6.01,0.338,0,2
"5136",20237,4.33694,19.2335,22.27,115.67,-34.02,7.46,0.56,0,2
"5137",18471,3.9478,22.478,22.31,69.43,-114.82,5.62,0.345,0,2
"5138",20219,4.3327,14.0352,22.31,115.42,-19.91,5.58,0.283,0,2
"5139",20542,4.4016,17.4441,22.36,109.99,-33.47,4.8,0.154,0,2
"5140",22177,4.77189,3.63634,22.45,92.59,12.96,10.92,1.277,0,2
"5141",13679,2.93716,8.38156,22.46,69.83,-88.32,5.97,0.478,0,2
"5142",19877,4.26286,15.4007,22.51,114.38,-22.07,6.31,0.4,0,2
"5143",21029,4.50934,16.194,22.54,104.98,-25.14,4.78,0.17,0,2
"5144",21039,4.5108,15.6919,22.55,104.17,-24.29,5.47,0.258,0,2
"5145",20527,4.39845,14.0521,22.57,115.9,-15.21,10.89,1.288,0,2
"5146",21459,4.60809,23.3409,22.6,109.97,-53.86,6.01,0.38,0,2
"5147",21637,4.64758,23.15,22.6,104.3,-55.25,7.51,0.576,0,2
"5148",20641,4.42361,22.2,22.65,112.45,-47.06,5.27,0.25,0,2
"5149",15401,3.30978,10.3124,22.66,147.35,-80.83,12.25,1.485,0,2
"5150",19808,4.24776,13.055,22.67,114.46,-19.28,10.69,1.204,0,2
"5152",16529,3.54724,23.6922,22.78,160.99,-40.55,8.88,0.844,0,2
"5153",21267,4.56296,13.2519,22.8,101.77,-17.93,6.62,0.429,1,2
"5154",20995,4.50239,15.6378,22.93,107.59,-23.92,5.58,0.324,0,2
"5156",21066,4.51588,10.7518,22.96,104.19,-10.52,7.03,0.472,1,2
"5157",22496,4.83998,17.2027,22.96,102.78,-29.7,7.1,0.563,0,2
"5158",21474,4.61131,15.8693,22.99,93.78,-23.02,6.64,0.442,1,2
"5159",20751,4.44674,10.8711,23.03,111.07,-16.26,9.45,1.033,0,2
"5161",18946,4.06084,19.455,23.07,119.02,-34.19,10.12,1.095,0,2
"5162",20686,4.43104,18.8641,23.08,110.87,-33.75,8.07,0.68,0,2
"5164",23214,4.99565,15.9167,23.09,87.21,-29.19,6.75,0.45,1,2
"5165",21152,4.53467,5.41004,23.13,114.15,6.17,6.37,0.42,1,2
"5166",21317,4.57648,15.5046,23.19,100.66,-28.04,7.9,0.631,1,2
"5167",19504,4.17843,18.4233,23.22,123.92,-31.41,6.61,0.427,1,2
"5168",21923,4.71436,18.7204,23.23,103.46,-92.15,7.12,0.677,0,2
"5169",20935,4.48904,17.5449,23.25,104.88,-31.65,7.02,0.526,1,2
"5170",20215,4.3319,16.5226,23.27,121.27,-36.65,6.85,0.509,1,2
"5174",21123,4.52697,17.7098,23.41,105.81,-30.97,9.53,0.987,0,2
"5177",20130,4.3161,19.9067,23.53,113.95,-36.39,8.62,0.745,0,2
"5178",21543,4.62555,15.1465,23.54,86.8,-17.98,7.53,0.597,0,2
"5181",19207,4.11701,15.335,23.57,122.63,-18.96,10.49,1.18,0,2
"5183",22505,4.84273,15.0835,23.64,89.49,-20.65,7.73,0.74,0,2
"5184",21762,4.67374,16.5137,23.65,91.94,-30.69,9.47,1.096,0,2
"5185",19481,4.1727,12.0776,23.85,168.24,89.45,8.11,0.741,0,2
"5186",22607,4.86389,13.6552,23.91,106.84,-16,6.3,0.502,1,2
"5187",21723,4.66416,12.7285,23.95,102,-17.7,10.04,1.073,0,2
"5188",17766,3.80329,7.14624,24.02,173.16,4.87,10.85,1.34,0,2
