HIP,RA_J2000,DE_J2000,Plx,pmRA,pmDE,Vmag,B-V
24570,"5,270878","3,489671","2,64","-15,68","-3,77","9,88","0,331"
17961,"3,839878","19,254348","2,65","7,53","-4,68","8,53","0,471"
15299,"3,289560","5,752984","2,66","-1,24","-27,93","10,1","0,502"
27301,"5,784277","17,730540","2,66","14,22","-26,41","9,71","0,51"
15077,"3,239868","9,201682","2,67","3,98","-18,48","8,31","1,182"
26677,"5,669327","19,680334","2,67","-1,91","-0,72","7,63","0,088"
16703,"3,582623","21,017630","2,68","4,02","-12,06","8,6","1,429"
27816,"5,885887","4,096687","2,68","-1,49","-29,84","8,17","1,308"
15542,"3,337603","6,221521","2,69","6,8","-1,86","9,45","0,225"
24302,"5,214801","13,921464","2,69","6,21","4,61","8,65","1,75"
25268,"5,404353","20,140013","2,69","23,57","-40,14","8,38","1,267"
28167,"5,952107","17,010765","2,69","-4,19","-6,77","8,97","0,597"
24522,"5,260958","8,823499","2,7","17,45","-11,63","8,39","1,333"
24762,"5,308853","4,176038","2,7","2,99","-11,1","9,53","0,473"
17379,"3,721696","12,793943","2,71","4,84","-12,41","9,11","1,541"
17909,"3,829850","21,160041","2,71","13,83","-16,12","8,48","1,713"
25204,"5,391846","18,600691","2,72","5,93","-9,68","7,27","1,671"
27856,"5,893502","14,432751","2,72","3,73","-9,39","9,03","0,02"
14292,"3,070890","21,472892","2,73","5,17","-6,17","7,29","1,079"
14802,"3,185994","6,867073","2,73","8,03","7,62","7,99","1,089"
19542,"4,185695","21,885124","2,73","0,36","-3,32","9,27","0,543"
20165,"4,321883","9,299031","2,73","-1,56","-7,95","7,75","1,013"
22914,"4,931157","13,630912","2,73","2,69","-5,9","7,8","0,103"
27009,"5,729323","9,914567","2,73","-9,2","-6,13","8,92","1,061"
28004,"5,924065","8,411557","2,73","13,16","-15,41","10,55","1,13"
16117,"3,460585","16,662985","2,74","29,13","1,05","8,08","0,257"
26627,"5,659596","9,848471","2,74","1,45","-15,61","7,24","1,228"
16604,"3,562250","9,684103","2,75","-19,6","5,93","8,5","1,601"
25742,"5,496527","12,270631","2,75","-2,83","-4,68","7,03","-0,088"
27934,"5,910398","15,507686","2,76","-7,87","-14,64",8,"-0,01"
14391,"3,094339","18,692046","2,77","6,36","-2,96","9,97","1,027"
14727,"3,170707","21,271941","2,77","26,75","-4,73","7,59","1,029"
26356,"5,612526","11,835686","2,78","1,45","-5,53","8,26","-0,028"
16828,"3,608399","21,780203","2,79","-0,62","6,01","8,89","1,054"
14996,"3,221150","6,423987","2,8","10,49","-13,19","9,45","1,392"
28848,"6,089667","9,279608","2,8","2,2","-10,91","8,95","0,413"
13846,"2,970937","15,993168","2,81","12,98","-33,71","8,46","1,143"
16325,"3,507325","10,458766","2,81","1,94","-21,35",7,"1,458"
18803,"4,029203","21,659349","2,81","37,34","-17,7","8,75","1,057"
19662,"4,212983","23,520786","2,81","21,63","-14,18","7,7","1,541"
24129,"5,182775","21,790921","2,81","-2,4",-8,"8,37","0,168"
25851,"5,518203","23,217803","2,81","-4,93","-7,27","10,45","0,541"
27396,"5,802208","4,641147","2,81","-15,12","-36,79","9,26","0,416"
15397,"3,308480","5,813875","2,82","-6,86","-10,2","9,1","1,128"
19499,"4,178036","15,237040","2,82","-15,32","-6,31","8,99","1,04"
21115,"4,525291","22,220857","2,82","6,97","-1,07","11,47","0,655"
25668,"5,482783","20,441822","2,82","12,87","-28,67","7,26","1,4"
26255,"5,591786","4,841008","2,82","-5,17","-5,03","8,89","-0,001"
27306,"5,785327","9,535239","2,82","-8,32","-2,49","8,98","0,156"
16273,"3,496958","13,415006","2,83","4,43","1,48","10,65","0,7"
19702,"4,220556","22,958784","2,83","1,23","-12,8","9,05","0,555"
22455,"4,831924","13,689088","2,83","-11,99","-24,21","7,06","1,744"
19443,"4,163968","10,800453","2,84","-6,22","-26,8","8,04","1,126"
27115,"5,750140","6,350412","2,84","-7,32","-6,58","7,17","-0,07"
15503,"3,329511","5,202627","2,85","14,3","2,88","10,1","0,361"
28087,"5,937350","3,866916","2,86","-22,64","-19,69","9,02","0,498"
17645,"3,780507","4,880816","2,87","4,57","4,5","8,55","0,186"
18308,"3,913806","5,583767","2,87","-15,33","-16,28","8,3","0,351"
21299,"4,570830","3,749670","2,87","8,14",-5,"7,83","1,404"
24875,"5,333458","24,423976","2,87","1,24","-7,71","9,64",      
16838,"3,611940","12,474373","2,88","3,48","-13,72","8,93","1,814"
18826,"4,034443","6,523850","2,88","15,65","-8,73","8,45","0,991"
25151,"5,382462","14,361105","2,89","-2,19","-17,28","7,66","1,13"
21347,"4,580603","24,244523","2,9","24,55","-19,42","9,03","0,7"
22416,"4,824072","10,988396","2,9","-5,59","-3,81","9,12","0,332"
27961,"5,915330","14,219828","2,9","-16,55","-24,99","6,63","1,025"
23473,"5,045709","3,457704","2,91","2,1","-4,04","7,32","-0,093"
15807,"3,394164","4,882105","2,92","-6,83","-2,56","6,37","0,851"
21976,"4,724248","4,963586","2,92","-7,6","-90,18","8,07","0,376"
25950,"5,537262","17,058128","2,92","-4,23","-10,85","5,5","-0,004"
26239,"5,590372","10,517631","2,92","2,75","-7,31","8,31","0,063"
18197,"3,892411","4,050818","2,93","-2,75","-3,62","10,79","0,506"
20270,"4,345108","22,949707","2,93","7,58","12,86","9,51","0,404"
22586,"4,860643","4,610351","2,93","-8,84","-16,79","9,13","1,222"
23082,"4,967649","20,313695","2,93","2,43","-8,6","8,17","1,536"
14818,"3,188517","20,901569","2,94","-4,73","11,2","8,75","1,371"
21176,"4,539991","10,639924","2,94","-4,44","-5,37","8,87","1,251"
26028,"5,553009","11,202274","2,94","-8,39","-6,97","8,27","0,851"
27405,"5,803327","17,496498","2,94","-3,43","-5,98","8,59","0,06"
16380,"3,517068","7,198308","2,95","-14,43","-14,85","7,61","1,267"
17883,"3,825178","8,467016","2,95","-0,08","-10,77","8,27","1,061"
24753,"5,307741","6,746512","2,95","12,17","-21,59","8,04","1,02"
24637,"5,286613","8,913200","2,96","6,32","-17,57","9,07","0,608"
25938,"5,535390","6,047023","2,96","5,28","-2,92","8,69","0,087"
28812,"6,082829","5,419970","2,96","-7,96","-0,18","5,67","1,047"
14214,"3,054588","10,924298","2,97","-4,78","-14,07","8,26","1,408"
24612,"5,278856","18,439535","2,97","1,42","-3,49","7,16","0,106"
26964,"5,722084","23,204372","2,97","6,41","-15,78","6,23","-0,071"
18326,"3,918235","18,590490","2,98","10,52","-11,2","7,82","0,692"
18683,"4,000992","13,190331","2,98","7,41","-13,71","10,31","0,576"
26971,"5,723310","5,358637","2,98","-1,92","-7,28","6,73","-0,034"
28447,"6,006745","16,298958","2,98","3,77","-8,68","6,54","1,54"
28667,"6,052777","7,627145","2,98","-9,72","-2,46","6,73","1,378"
18825,"4,034297","11,301513","2,99","-4,94","-0,73","9,15","1,621"
19384,"4,152169","10,765159","2,99","28,73","-7,24","7,51","1,061"
19529,"4,184277","16,646985","2,99","3,3","2,49","6,97","0,344"
14390,"3,094022","6,117436",3,"31,34","-4,38","7,68","1,339"
15857,"3,404280","11,860996",3,"1,26","-25,96","8,84","2,239"
14735,"3,171599","16,813495","3,01","-2,02","-12,77","7,7","0,039"
18748,"4,015783","23,201491","3,01","15,01","-35,07","6,52","0,103"
21929,"4,715276","4,740727","3,01","9,64","-20,74","7,97","1,158"
22691,"4,879416","22,661921","3,01","-9,2","-8,03","10,16","0,64"
23328,"5,018339","3,717325","3,01","-1,48","-6,01","7,25","-0,139"
27519,"5,827209","21,828995","3,01","-8,75","-9,54","8,84","0,227"
24163,"5,188912","22,362708","3,02","0,68","-6,39","8,09","0,221"
25111,"5,376246","16,803954","3,02","1,74","-1,27","8,29","0,303"
18508,"3,957328","24,461937","3,04","-5,99","-7,33","6,19","1,372"
20244,"4,337952","7,853690","3,04","-4,27","-7,24","7,95","0,159"
20587,"4,409159","4,123351","3,04","3,98","-10,39","9,73","0,543"
14906,"3,206306","10,326395","3,05","-7,43","-5,56","9,91","0,739"
15872,"3,407500","3,864542","3,05","-15,03","-41,08","9,48","0,377"
26435,"5,625835","16,556598","3,05","5,48","-19,85","8,74","0,086"
28691,"6,057602","19,690561","3,05","9,81","-20,29","5,14","-0,097"
19558,"4,189393","22,061115","3,06","-11,48","-4,91","8,52","1,153"
15048,"3,231913","18,973337","3,08","25,67","10,51","6,51","1,487"
21920,"4,713690","6,509785","3,08","-2,06","-8,52","10,49","0,648"
25493,"5,452306","3,855547","3,08","0,04","-0,75","6,74","-0,154"
25834,"5,515577","19,788070","3,08","-24,42","-63,65","9,39","0,567"
27638,"5,850680","20,406217","3,08","18,45","-68,23","8,91","0,777"
14481,"3,114576","20,861978","3,09","27,83",-32,"8,49","0,629"
15822,"3,397849","13,837254","3,09","17,22","-6,45","8,69","1,198"
24159,"5,188340","7,005193","3,09","-5,36","-23,86","8,16","1,029"
26207,"5,585633","9,934158","3,09","-1,03","-1,86","3,39","-0,16"
28597,"6,035948","23,929803","3,09","5,13","-7,64","9,07","0,22"
14683,"3,161673","17,660911","3,11","-2,75","-11,24","8,5","0,279"
25640,"5,476693","4,949728","3,11","-7,18","0,31","8,63","0,206"
28882,"6,097938","5,737922","3,11","-3,71","-4,63","7,86","-0,068"
18957,"4,062390","5,435624","3,12","1,23","-5,4","5,32","-0,08"
21517,"4,620772","18,543032","3,12","-3,76","-6,77","6,49","0,81"
27695,"5,863501","15,882069","3,12","-2,87","-9,09","9,46","0,41"
16571,"3,555876","15,197997","3,13","-9,41","-17,5","9,81","0,465"
22385,"4,819031","5,218491","3,13","-11,33","-6,94","9,14","0,247"
23099,"4,970135","14,396307","3,13","-2,19","8,43","10,59","0,522"
24415,"5,238605","22,659907","3,13","-31,99","-23,91","8,4","1,211"
27565,"5,837963","5,928930","3,13","16,62","-15,24","9,61","0,458"
28586,"6,034638","11,656600","3,13","-4,76","-8,34","8,44","0,145"
28692,"6,057894","18,183275","3,13","1,15","-0,41","7,96","0,056"
14437,"3,106200","5,278520","3,14","26,51","-8,51","9,67","0,42"
16811,"3,606456","18,361990","3,15","20,6","0,92","8,73","1,088"
27119,"5,750878","13,576360","3,15","0,93","-3,22","8,26","0,881"
19672,"4,214235","22,413458","3,16","-3,69","-10,57","6,14","0,171"
23883,"5,132066","21,704821","3,16","1,75","-6,24","5,84","0,168"
16512,"3,543533","17,268970","3,17","3,44","-43,37","9,8","0,446"
17380,"3,721851","8,508244","3,17","9,63","6,52","9,66","0,503"
18165,"3,883785","20,208014","3,17","-11,27","-9,23","8,97","1,473"
21725,"4,664495","17,489265","3,17","-6,78","-8,85","7,91","1,32"
25207,"5,392150","16,040494","3,17","1,42","-5,7","7,27","0,125"
25507,"5,454390","5,019174","3,17","0,68","-3,82","9,83","0,024"
22343,"4,810955","3,649283","3,18","12,6","2,71","7,32","-0,057"
26044,"5,555438","8,538491","3,18","-0,25","-0,19","7,7","1,726"
27869,"5,897475","6,546951","3,18","-9,22","3,52","8,47","0,319"
18539,"3,965741","9,625312","3,19","22,79","5,69","9,49","0,6"
28274,"5,974328","7,860552","3,19","14,01","3,17","7,34","1,257"
18852,"4,041791","7,246303","3,2","-0,15","-8,57","10,19","0,44"
21304,"4,572886","8,187201","3,2","28,59","3,89","8,32","0,233"
27619,"5,847962","7,481637","3,2","2,17","-0,98","8,57","0,67"
28307,"5,981885","18,820166","3,2","4,7","-18,36","7,06","1,313"
14203,"3,052658","20,336215","3,21","13,86","-4,45","7,96","1,595"
22324,"4,808911","10,966393","3,21","-4,54","-1,9","8,82","1,177"
24000,"5,159851","17,907445","3,21","0,06","-5,95","9,83","0,187"
25779,"5,504276","22,540258","3,21","-0,74","-7,72","7,77","1,755"
15608,"3,349709","20,647039","3,22","-1,43","-10,8","8,7","1,612"
14829,"3,191559","5,588943","3,24","30,08","-11,85","9,54","0,436"
18335,"3,920073","11,304498","3,24","-1,62","6,27","8,57","1,022"
21840,"4,695377","22,731578","3,24","4,77","-8,87","8,73","1,655"
22311,"4,805369","18,565669","3,24","-18,33","-13,32","9,65","0,396"
22767,"4,897720","22,771023","3,24","1,39","-7,65","9,82","0,453"
25909,"5,529804","5,081424","3,24","11,67","8,76","8,5","1,792"
15936,"3,420291","9,691205","3,25","-5,36","-6,29","8,75","1,177"
17935,"3,835523","9,924544","3,25","-9,48","-12,01","8,22","0,526"
18296,"3,912383","23,201588","3,25","1,35","-9,14","7,95","0,048"
22146,"4,765625","4,360026","3,25","-17,41","5,81","7,99","0,249"
25248,"5,399155","17,636190","3,25","-4,36","-9,18","10,02","0,518"
25689,"5,485664","11,870195","3,25","1,13","3,18","9,85","0,97"
27200,"5,765719","24,224922","3,25","-5,09","-9,03","7,96","0,22"
27956,"5,915002","22,519945","3,25","12,55","8,29","7,2","1,249"
14961,"3,214214","4,819390","3,26","-3,06","-3,34","11,28","1,439"
20832,"4,464341","10,291498","3,26","3,69","-6,01","10,5","0,609"
22129,"4,762411","10,274298","3,26","-11,83","-1,59","9,44","0,439"
23103,"4,970585","4,133927","3,28","0,65","-5,24","9,26","0,107"
23967,"5,152066","9,155253","3,28","3,22","-0,9","8,84","1,024"
24251,"5,205939","18,053694","3,28","-14,08","-2,59","10,62","0,517"
25513,"5,456040","14,028979","3,28","-2,45","-6,55","8,33","0,178"
22386,"4,819192","11,851933","3,31","-3,13","4,97","8,4","0,34"
24416,"5,238683","11,488182","3,31","-0,08","-7,57","9,01","0,097"
26176,"5,580344","9,489579","3,31","-1,24","-2,49","4,39","-0,157"
15588,"3,346246","18,737311","3,32","14,89","-39,8","8,63","1,069"
21013,"4,506234","23,588858","3,32","19,05","0,71","7,18","0,39"
27465,"5,816300","19,076792","3,32","3,57","1,17","10,27",      
27649,"5,853280","23,872835","3,32","1,85","-13,85","9,57","0,468"
28802,"6,080819","16,659814","3,32","-1,53","-3,8","7,8","-0,11"
13539,"2,905826","7,680220","3,33","22,32","-11,33","7,44","0,043"
14039,"3,013641","10,244312","3,33","11,29","-3,44","7,69","1,367"
21365,"4,583991","17,201232","3,33","-5,66","-1,29","6,73","1,833"
15938,"3,420387","4,873626","3,34","-0,76","1,06","10,79","0,5"
17155,"3,674456","5,125872","3,34","7,62","-8,9","6,61","1,306"
21529,"4,622828","5,472290","3,34","-5,38","-5,01","10,03","0,4"
25145,"5,380843","3,552219","3,34","2,24","-0,65","7,17","-0,111"
26994,"5,727068","10,019530","3,34","4,19","-16,86","8,45","0,136"
27839,"5,890679","6,255684","3,34","-7,2","5,35","7,21","0,901"
28225,"5,963602","14,684114","3,34","0,69","5,74","7,41","1,122"
23962,"5,150670","12,948474","3,35","-10,48","-12,57","9,29","0,461"
27320,"5,787499","22,528986","3,36","-21,1","-19,05","7,66","1,06"
27550,"5,834067","22,555427","3,36","-6,58","-13,57","8,05","1,668"
20562,"4,404566","7,320132","3,37","3,48","-25,09","7,71","1,143"
26609,"5,656635","11,834921","3,37","-3,99","-4,9","8,82","0,477"
27390,"5,800576","12,418404","3,37","-4,64","-8,91","6,68","-0,083"
18521,"3,960573","6,873803","3,38","-0,76","-8,93","8,65","0,111"
21504,"4,618664","9,397968","3,38","-10,34","-17,67","8,31","1,057"
23960,"5,149856","10,415823","3,38","-5,83","6,72","9,35","0,545"
25142,"5,380556","3,544452","3,39",-2,"1,8","4,99","-0,096"
26202,"5,584634","15,639034","3,39","-9,29","-12,5","7,52","-0,01"
120002,"5,990319","17,816217","3,39","24,03","-79,21","10,48",      
16066,"3,448970","3,464541","3,4","22,15","-40,68","8,68","1,026"
23976,"5,153276","18,958569","3,4","4,45","-27,66","7,87","1,284"
26967,"5,722780","21,415967","3,4","11,42","-29,85","8,35","0,084"
14993,"3,220810","21,644716","3,41","64,98","-38,58","8,23","0,496"
27182,"5,761217","14,688920","3,41","63,15","-189,93","9,05","0,65"
15558,"3,340547","14,174646","3,42","16,76","-17,96","9,07","0,529"
16295,"3,501487","24,190408","3,42","-5,86","-13,29","8,2","0,399"
19009,"4,072687","24,105993","3,42","-0,31","-13,82","5,46","0,813"
20734,"4,443753","9,394247","3,42","9,28","-0,94","8,1","0,088"
19745,"4,233074","22,708071","3,43","9,37","-5,26","8,19","0,179"
22601,"4,862605","6,174241","3,43","2,05","-26,61","8,28","1,263"
14682,"3,161266","17,260874","3,44","-13,23","-39,69","7,74","1,546"
16338,"3,510169","11,867425","3,44","0,24","-13,07","9,64","0,464"
23656,"5,084116","22,276035","3,44","38,51","15,75","10,69","0,734"
26187,"5,582219","22,568598","3,44","-11,57","-17,28","8,51","1,11"
27332,"5,789631","8,548387","3,44","-2,18","-3,3","8,19","-0,083"
14901,"3,204493","17,301087","3,45","-9,97","-5,28","8,4","0,335"
19359,"4,147110","10,463659","3,45","-10,34","-22,81","8,76","0,668"
21748,"4,669338","20,548254","3,45","-0,45","-10,33","9,14","0,372"
27159,"5,757178","24,079253","3,45","-3,86","-0,36","10,07","0,276"
28659,"6,051940","20,586274","3,45","-14,02","-9,73","6,88","0,969"
15423,"3,312832","7,393222","3,46","-11,22","-16,7","9,14","0,605"
25591,"5,469347","3,623160","3,46","1,34","-0,96","9,46","0,168"
27474,"5,818220","9,893318","3,46","32,74","6,28","8,91","1,2"
28526,"6,021482","9,072434","3,46","-11,15","1,88","7,26","0,911"
13669,"2,933949","12,387127","3,47","19,81","11,63","10,52","0,839"
15906,"3,414285","14,014879","3,47","45,62","1,54","9,68","0,461"
15996,"3,434253","20,245565","3,47","-8,03","-9,52","8,54","0,4"
17920,"3,831911","19,566350","3,47","-8,66","-18,68","8,62","1,03"
15513,"3,332130","21,516447","3,48","16,69","-19,27","8,76","0,655"
21782,"4,679485","5,339913","3,48","-6,29","-9,39","8,76","0,212"
23946,"5,146283","21,495650","3,48","2,03","-5,73","8,34","0,306"
24207,"5,197169","5,408846","3,48","-5,63","-5,84","7,62","1,317"
27829,"5,888617","20,299107","3,48","-2,88","-10,14","6,7","-0,057"
26032,"5,553818","7,153453","3,49","0,1","-4,3","7,89","2,45"
26912,"5,713523","21,389143","3,49","0,71","-0,78","8,57","1,284"
21809,"4,684944","3,513909","3,51","37,51","-28,47","8,44","1,175"
24784,"5,313133","17,104870","3,51","0,61","2,99","9,27","0,401"
25154,"5,383211","18,898628","3,51","-3,18","-5,68","9,26","0,888"
27543,"5,832751","11,718536","3,51","-1,01","-13,19","8,71","1,018"
14436,"3,105876","10,805657","3,52","-15,26","-19,77","9,96","1,027"
16505,"3,540879","20,175484","3,52","-6,53","-15,99","8,42","1,672"
19651,"4,210596","17,834659","3,52","-2,76","-5,92","8,5","1,43"
21019,"4,507393","20,547820","3,52","31,78","-18,6","9,74","0,67"
22185,"4,772877","19,205248","3,52","-1,14","-0,11","9,64","0,243"
25671,"5,483240","13,148510","3,52","-16,3","-40,91","8,05","1,073"
25747,"5,497558","18,430744","3,52","11,51","-13,78","8,15","0,8"
28142,"5,947387","16,355075","3,52","-0,53","-3,33","7,22","-0,137"
18717,"4,010247","17,296660","3,53","2,57","-30,81","6,31","0,056"
23858,"5,127633","12,541195","3,53","7,88","-1,68","8,18","0,778"
23898,"5,135085","14,532851","3,53","-0,34","-6,46","7,88","1,001"
13759,"2,952127","10,803792","3,54","2,07","0,49","9,83","0,4"
18998,"4,070273","15,026862","3,54","-4,11","-22,96","8,01","1,147"
21350,"4,581311","18,413403","3,54","2,03","-4,43","8,06","0,21"
23544,"5,063104","10,855217","3,54","-10,52","-17,23","9,59","0,456"
23504,"5,053761","17,290172","3,55","1,5","-13,02","9,77","0,475"
27078,"5,742040","15,063503","3,55","0,37","-24,74","7,12","0,792"
28522,"6,020774","6,626016","3,55","-1,5","-2,93","8,79","0,051"
14394,"3,094726","23,094043","3,56","-11,21","-6,17","7,67","1,641"
23150,"4,981121","23,836687","3,56","-0,57","-4,14","8,63","0,275"
23917,"5,138987","23,214461","3,56","-3,31","-11,75","8,51","0,187"
27222,"5,769605","22,772652","3,56","-1,48","-25,3","8,19","1,198"
28353,"5,991029","8,415468","3,56","0,57","-16,36","6,77","0,947"
18289,"3,911588","4,949771","3,57","-6,72","-4,08","8,13","0,127"
14362,"3,088455","3,766726","3,58","2,89","0,64","9,89","0,4"
18566,"3,974837","8,368370","3,58","-22,28","-7,72","9,16","0,061"
19308,"4,139067","19,737646","3,58","-9,44","-4,37","7,69","0,5"
26980,"5,724913","16,698344","3,59","-5,2","-6,26","8,18","0,092"
15651,"3,358266","21,438654","3,6","18,03","-9,4","9,19","0,349"
16250,"3,490358","10,900387","3,6","13,31","-44,04","10,74","0,584"
19003,"4,071878","12,507445","3,6","59,22","-17,95","7,45","1,913"
18890,"4,049656","11,366081","3,62","-10,5","-4,69","9,79","0,465"
21820,"4,688821","15,511940","3,62","-1,5","0,91","9,96","0,494"
20290,"4,348558","15,933871","3,63","-5,53","-27,68","9,44","0,587"
23666,"5,086958","8,942137","3,63","0,01","-5,23","7,45","-0,029"
27644,"5,851970","8,107236","3,63","-10,01","-2,18","8,56","0,125"
14404,"3,096589","14,267614","3,64","-0,84","-28,96","8,94","0,524"
18542,"3,966457","15,628223","3,64","-7,77","-7,16","8,33","1,105"
18581,"3,977041","11,027543","3,64","0,45","-21,48","7,24","1,696"
25054,"5,364271","4,242971","3,64","-1,46","-3,24","10,61","0,205"
14842,"3,195013","8,118782","3,65","23,3","17,76","8,55","0,049"
15897,"3,412850","9,807862","3,65","35,33","-28,07","7,78","1,147"
21446,"4,605449","11,412500","3,65","2,95","-7,52","6,74","0,263"
28843,"6,088133","21,387002","3,65","-4,75",-27,"8,4","1,062"
22486,"4,837588","19,923450","3,66","22,48","-2,8","8,5","1,126"
25538,"5,460567","4,835237","3,66","14,68","-21,4","8,69","1,082"
28789,"6,077799","10,509820","3,66","-9,26","-8,86","8,14","0,02"
14636,"3,151956","12,119576","3,67","-8,13","-20,04","10,54","0,866"
18181,"3,889213","23,123611","3,68","7,69","5,12","8,29","1,54"
22556,"4,854048","14,356394","3,68","1,18","-20,14","10,74","0,839"
15566,"3,342819","19,180395","3,7","10,17","-11,02","8,28","0,184"
16441,"3,528832","18,800125","3,71","-13,74","-11,55","8,16","0,131"
27036,"5,734248","6,515623","3,71","5,35","-13,26","7,41","1,06"
27265,"5,779305","15,822497","3,71","5,36","-3,04",6,"-0,061"
21094,"4,520326","23,346064","3,72","21,61","-35,65","7,07","1,703"
23784,"5,111369","22,510755","3,72","2,83","-7,34","7,13","0,145"
24959,"5,345419","17,242950","3,72","-9,75","-4,8","7,8","0,065"
27181,"5,760947","20,695037","3,72","-1,12","-6,52","6,87","3,101"
16132,"3,463775","24,182753","3,73","-10,06","-18,49","7,85","1,09"
19146,"4,103292","20,668256","3,73","0,43","-13,36","8,32","1,579"
22609,"4,864220","8,509244","3,73","1,45","4,91","10,38","1,003"
23673,"5,088922","7,562494","3,73","1,75","-3,16","7,59","-0,05"
27096,"5,745710","14,575962","3,73","0,42","-23,41","8,23","1,062"
27125,"5,752184","12,173358","3,73","1,66","-3,33","8,87","0,339"
21554,"4,628283","15,346094","3,75","11,88","-31,18","8,91","1,332"
21975,"4,723596","5,264565","3,75","-12,54","-2,32","8,16","0,119"
22004,"4,730319","15,831329","3,75","2,13","-40,26","10,58","0,653"
23163,"4,983296","12,960667","3,75","1,63","12,69","9,41","0,461"
25481,"5,449779","8,078045","3,75","13,58","3,64","8,03","0,999"
26136,"5,573252","5,419755","3,75","1,3","-3,67","8,26","0,059"
14484,"3,116330","19,628268","3,76","-11,36","7,01","10,11","0,959"
16372,"3,514844","8,368522","3,76","19,4","-5,64","8,49","1,626"
26414,"5,622031","8,951875","3,76","-0,59","-2,28","6,11","-0,17"
21399,"4,593539","22,020677","3,77","16,43","-24,35","8,18","1,036"
27151,"5,755936","4,848898","3,77","3,06","-6,47","8,33","0,133"
14493,"3,119543","19,364032","3,78","19,8","-40,7","8,31","1,036"
20531,"4,399381","24,303844","3,78","5,76","-7,04","8,18","0,353"
27453,"5,813143","11,997206","3,78","-0,11","-8,17","6,93","-0,1"
15625,"3,353468","13,784013","3,79","36,64","2,53","10,12","0,511"
19853,"4,256701","24,078478","3,79","3,73","-3,24","7,9","1,894"
27381,"5,798984","24,470385","3,79","-14,75","-1,95","9,3","0,602"
14343,"3,082742","12,660000","3,8","34,08","-22,26","8,74","1,194"
14977,"3,217559","11,268633","3,8","10,03","-6,31","7,8","0,661"
16784,"3,599997","23,914125","3,8","3,64","-6,84","9,02","1,337"
18696,"4,005350","23,534284","3,8","-0,91","-7,81","10,45","1,5"
28495,"6,015150","19,814107","3,8","-6,8","-14,94","8,62","0,201"
14141,"3,038904","18,443766","3,81","11,21","-8,07","9,35","1,213"
20425,"4,375834","5,694206","3,81","20,29","-21,75","9,19","0,474"
20897,"4,478381","20,677436","3,81","4,69","-6,99","7,74","0,12"
21938,"4,716249","17,311139","3,81","13,09","-1,87","8,23","1,7"
22184,"4,772858","6,495543","3,81","19,57","-2,13","8,76","0,232"
23167,"4,984085","21,736449","3,81","30,12","-67,33","9,53","0,63"
24774,"5,311490","3,981663","3,81","50,1","42,25","9,29","0,611"
26223,"5,587961","8,700740","3,81","-3,63","-9,45","7,21","1,411"
28762,"6,074093","4,785787","3,82","-0,04","-12,72","8,82","1,091"
16096,"3,455854","9,256145","3,83","-2,33","-10,23","9,82","0,551"
25134,"5,379297","19,011564","3,83","5,05","-9,01","7,59","1,073"
14433,"3,104756","11,665286","3,84","17,75","-9,51","7,12","1,82"
18354,"3,923904","17,632653","3,84","-2,32","-4,72","7,69","1,032"
26913,"5,713569","17,389445","3,85","8,58","-22,39","8,19","1,112"
17904,"3,828952","11,446532","3,86","10,91","-2,39","8,07","1,273"
20816,"4,459988","6,611989","3,87","-11,33","-8,44","9,12","0,24"
21792,"4,681142","7,942254","3,87","37,01","-8,84","9,92","0,585"
26573,"5,649323","5,463855","3,87","4,91","-4,98","9,79","0,377"
14454,"3,109257","5,625016","3,88","-2,89","-6,84","7,94","0,971"
20175,"4,325044","19,947814","3,88","7,73","-6,33","7,87","0,206"
20547,"4,402693","8,554790","3,88","29,65","-6,87","12,62","-0,03"
13706,"2,941562","10,125896","3,89","21,77","-6,7","8,73","1,018"
16108,"3,458876","5,870437","3,89","9,91","-41,96","7,19","1,266"
22346,"4,811401","7,839975","3,89","-7,92","24,38","7,1","1,509"
24761,"5,308786","21,792406","3,89","-4,21","-10,04","7,3","0,234"
25888,"5,526692","17,318590","3,89","3,39","-10,58","8,57","0,404"
26887,"5,708354","10,538458","3,89","7,77","-16,99","7,28","0,216"
28302,"5,981455","12,808264","3,89","-8,64","2,84","5,7","0,874"
16133,"3,464228","20,925160","3,9","7,3","-28,79","7,85","1,129"
26163,"5,577737","7,563511","3,9","6,89","-1,3","9,77","0,295"
21931,"4,715355","7,569806","3,91","-7,85","-9,94","8,9","0,278"
17282,"3,700524","18,205709","3,92","-4,24","-2,13","10,17","0,789"
24032,"5,166435","10,892523","3,92","-8,05","-11,02","7,95","0,95"
25294,"5,411347","8,502327","3,92","2,2","-10,85","8,81","1,031"
13890,"2,981067","22,004550","3,95","3,2","-5,5","8,23","0,276"
26377,"5,616748","12,474857","3,95","3,25","-12,52","8,45","0,225"
15198,"3,264808","20,702087","3,96","3,57","-8,86","8,08","0,073"
18810,"4,030602","7,604889","3,96","-2,49","-2,61","8,65","0,129"
18341,"3,921735","10,771747","3,97","5,01","-6,95","9,35","0,52"
18849,"4,041275","18,061549","3,97","11,4","-17,02","10,03","0,486"
26386,"5,617884","11,035005","3,97","52,25","-16,18","5,97","1,592"
28200,"5,959235","9,581377","3,97","-7,53","-10,53","8,4","-0,03"
15015,"3,225999","7,798744","3,98","35,28","1,95","9,24","0,473"
16831,"3,608603","16,678285","3,98","-3,76","-24,09","9,47","0,343"
23599,"5,074108","10,186808","3,98","112,43","-94,14","10,32","0,59"
