"","fila","columna","RA_J2001SIMBAD","DE_J2001SIMBAD","RA_J2000HIPPARCOS","DE_J2000HIPPARCOS"
"105","2830","2508","4.53467","5.41","4.534669","5.410035"
"106","2508","2830","4.534669","5.410035","4.53467","5.41"
"107","2755","2509","4.57647","15.5046","4.576475","15.50462"
"108","2509","2755","4.576475","15.50462","4.57647","15.5046"
"109","2813","2510","4.17843","18.4233","4.178435","18.423253"
"110","2510","2813","4.178435","18.423253","4.17843","18.4233"
"111","2745","2512","4.48904","17.5449","4.489043","17.544935"
"112","2512","2745","4.489043","17.544935","4.48904","17.5449"
"113","2750","2513","4.3319","16.5226","4.331905","16.522588"
"114","2513","2750","4.331905","16.522588","4.3319","16.5226"
"115","2831","2472","4.43259","5.1501","4.432594","5.150145"
"116","2822","2529","4.86389","13.6552","4.863886","13.655155"
"117","2529","2822","4.863886","13.655155","4.86389","13.6552"
"118","2472","2831","4.432594","5.150145","4.43259","5.1501"
"119","2827","2536","3.88612","17.3271","3.886124","17.327083"
"120","2536","2827","3.886124","17.327083","3.88612","17.3271"
"121","2770","2538","4.49211","17.8932","4.492113","17.893182"
"122","2538","2770","4.492113","17.893182","4.49211","17.8932"
"123","2685","2539","4.513","16.1487","4.512999","16.148696"
"124","2539","2685","4.512999","16.148696","4.513","16.1487"
"125","2820","2544","4.40405","21.7362","4.404049","21.736244"
"126","2544","2820","4.404049","21.736244","4.40405","21.7362"
"127","2829","2558","3.99458","10.3304","3.994582","10.330402"
"128","2558","2829","3.994582","10.330402","3.99458","10.3304"
"129","2832","2563","4.18897","5.523","4.188967","5.523047"
"130","2563","2832","4.188967","5.523047","4.18897","5.523"
"131","2712","2570","4.3791","16.791","4.379106","16.79104"
"132","2570","2712","4.379106","16.79104","4.3791","16.791"
"133","2835","2602","2.96812","20.6687","2.968117","20.668733"
"134","2602","2835","2.968117","20.668733","2.96812","20.6687"
"135","2659","2445","4.42703","15.941","4.427033","15.94101"
"136","2445","2659","4.427033","15.94101","4.42703","15.941"
"137","2814","2429","4.12833","15.1628","4.128329","15.162788"
