"","HIP","RA_J2000","DE_J2000","Plx","pmRA","pmDE","Vmag","BV","hyades","clusterNum"
"2189",28312,5.98253,18.9799,13.5,47.82,-49.08,8.47,0.606,0,2
"2195",22942,4.9364,13.9754,13.56,107.2,-71.78,8.81,0.78,0,2
"2207",24283,5.21167,23.8933,13.8,243.28,-131.05,10.32,0.88,0,2
"2208",14152,3.04095,22.3735,13.81,101.08,-31.7,7.92,0.506,0,2
"2209",14676,3.1601,5.20288,13.83,71.03,-28.47,7.99,0.58,0,2
"2217",22889,4.92298,5.63639,14.24,62.7,32.48,8.36,0.599,0,2
"2218",26027,5.55254,15.9437,14.25,31.64,-140.83,8.19,0.549,0,2
"2219",21503,4.61857,22.2843,14.29,201.54,-5.46,9.47,0.75,0,2
"2220",26676,5.66937,12.1781,14.3,271.77,-70.44,10.2,0.65,0,2
"2222",16181,3.47405,22.804,14.44,0.02,-111.4,6.03,0.951,0,2
"2223",19082,4.09046,19.4422,14.56,123.06,-28.43,11.41,1.347,0,2
"2226",22850,4.91621,19.4854,14.67,63.32,-28.41,6.36,0.292,0,2
"2227",16083,3.45282,9.73268,14.68,53.61,-38.12,3.73,-0.082,0,2
"2228",17049,3.65474,13.8915,14.68,12.57,-99.41,6.67,0.92,0,2
"2229",28159,5.95049,15.7414,14.69,89.55,-244.33,8.2,0.654,0,2
"2230",15362,3.30126,6.48433,14.7,72.71,-111,8.8,0.702,0,2
"2231",22972,4.94326,23.2957,14.72,75.58,-105.55,7.51,0.516,0,2
"2233",14135,3.03799,4.08973,14.82,-11.81,-78.76,2.54,1.63,0,2
"2234",22782,4.90085,17.0268,14.82,78.04,-0.66,7.22,0.536,0,2
"2236",28671,6.05413,19.3607,14.86,666.6,-623.13,9.28,0.646,0,2
"2237",17803,3.8108,21.0566,14.91,105.89,-179.26,10.56,1.11,0,2
"2239",20601,4.41201,4.69995,14.97,99.52,-1.15,8.93,0.758,0,2
"2241",21138,4.53124,15.4995,15.11,100.76,-23.42,11.02,1.28,0,2
"2242",15565,3.3427,12.3466,15.14,136.66,12.12,7.34,0.468,0,2
"2245",15249,3.27851,15.6572,15.18,111.79,-200.82,8.76,0.67,0,2
"2247",17235,3.69119,12.6079,15.26,45.86,-79.67,8.1,0.526,0,2
"2248",20769,4.45017,19.1177,15.26,95.44,-130.1,7.69,0.586,0,2
"2249",20794,4.45617,7.06249,15.28,33.45,-3.6,7.58,0.408,0,2
"2250",15683,3.36731,17.24,15.33,168.25,-175.03,10.9,0.99,0,2
"2255",19971,4.28194,4.5427,15.44,170.16,4.61,7.84,0.644,0,2
"2256",25966,5.53969,14.8752,15.48,96.22,-169.91,10.81,1.109,0,2
"2258",16824,3.608,23.7973,15.66,53,-103.72,8.62,0.669,0,2
"2259",22253,4.79061,23.0509,15.74,77.6,-42.56,10.69,1.112,0,2
"2260",20482,4.38968,19.6587,15.82,98.53,-32.57,9.39,0.908,0,2
"2261",24822,5.32128,22.0965,15.83,19.62,-81.08,4.96,0.937,0,2
"2263",14992,3.22045,3.82111,15.89,273.22,-225.92,9.85,0.94,0,2
"2265",21741,4.66829,23.3045,15.96,74.68,-38.05,9.4,0.811,0,2
"2266",25435,5.43974,3.8566,15.96,51.23,36.89,7.65,0.473,0,2
"2267",18347,3.92255,19.3809,16,182.14,-105.11,8.88,0.608,0,2
"2268",13589,2.91803,21.5951,16.01,146.33,-99.03,8.66,0.66,0,2
"2269",24289,5.21258,4.32109,16.01,229.55,-81.68,10.57,0.8,0,2
"2270",18719,4.01098,20.3804,16.04,142.36,-76.67,8.66,0.705,0,2
"2274",23277,5.00825,5.09897,16.18,34.41,-30.87,8.02,0.57,0,2
"2277",15453,3.32167,11.4559,16.45,207.65,55.3,11.22,0,0,2
"2279",27820,5.88683,11.8142,16.53,12.71,-108.44,7.19,0.506,0,2
"2280",24480,5.25322,20.0561,16.54,64.67,-36.47,7.72,0.687,0,2
"2281",19757,4.23559,9.40671,16.56,110.12,-7.26,11.09,1.21,0,2
"2282",28188,5.95717,21.9809,16.57,15.49,-82.18,9,0.47,0,2
"2283",23662,5.08515,6.13023,16.69,49.05,-4.87,7.69,0.509,0,2
"2286",19157,4.10636,14.4022,16.75,66.54,59.34,7.3,0.496,0,2
"2288",23312,5.01358,4.73311,16.77,71.5,10.67,9.71,0.957,0,2
"2289",20877,4.47399,16.3597,16.78,8.12,17.79,4.96,1.137,0,2
"2290",22509,4.84353,8.90018,16.84,-0.87,-31.57,4.35,0.01,0,2
"2291",23879,5.13136,8.49843,16.84,34.96,-59.49,5.33,0.338,0,2
"2292",23789,5.11197,14.0848,16.9,-15.21,-121.23,7.3,0.559,0,2
"2296",16760,3.59416,12.0396,17.14,67.64,-340.47,10.49,0.93,0,2
"2297",22566,4.85645,15.4335,17.14,67.63,-17.21,7.9,0.527,0,2
"2298",16548,3.55147,4.95811,17.2,121.87,20.31,11.88,1.378,0,2
"2299",22565,4.85624,18.8399,17.27,79.66,-32.76,5.08,0.214,0,2
"2301",20827,4.46307,14.4177,17.29,101.43,-20,9.48,0.929,0,2
"2303",18609,3.98208,16.9034,17.31,78.71,-144.74,8.89,0.784,0,2
"2306",13631,2.92564,18.7738,17.36,282.82,-146.54,9.74,0.839,0,2
"2310",15394,3.30754,15.1773,17.54,-1.48,-301.25,7.42,0.79,0,2
"2311",14721,3.16942,18.3456,17.55,163.7,-58.68,8.69,0.682,0,2
"2312",21179,4.54046,13.1132,17.55,102.37,-18.77,11,1.194,0,2
"2313",21703,4.66014,13.1231,17.64,236.38,-141.18,8.93,0.83,0,2
"2315",24180,5.19195,5.70321,17.75,60.65,-139.87,7.88,0.522,0,2
"2316",26689,5.67156,16.3928,17.82,56.67,-162.29,7.36,0.524,0,2
"2317",25677,5.48392,10.2493,17.9,122.04,-79.77,10.98,1.629,0,2
"2319",13977,3.00085,9.17881,17.99,120.6,139.67,10.03,0.84,0,2
"2320",19038,4.07825,22.0819,18.04,91.73,-58.52,4.36,1.064,0,2
"2321",15074,3.23828,9.13091,18.08,273.8,-81.77,11.16,1.16,0,2
"2322",19789,4.24178,22.4519,18.12,95.09,-34.1,7.05,0.424,0,2
