HIP,RA_J2000,DE_J2000,Plx,pmRA,pmDE,Vmag,BV,hyades
20513,4.39561,22.9648,1.02,1.82,-13.64,7.03,1.826,0
25826,5.51438,10.2544,1.02,3.25,-1.39,7.47,-0.08,0
20099,4.30896,4.95193,1.03,18.6,16.31,7.85,1.471,0
23592,5.0728,21.6435,1.04,2.68,-5.17,7.94,0.336,0
27191,5.76368,18.7924,1.04,-1.16,-6.21,7.51,0.098,0
17141,3.6709,8.08138,1.05,-1.35,1.09,8.72,1.386,0
27374,5.79799,17.7967,1.05,5.36,-7.42,8.64,0.65,0
28064,5.93348,12.9628,1.05,4.03,-4.3,8.17,0,0
14778,3.18032,10.0059,1.06,30.08,10.35,6.95,1.726,0
16534,3.54865,12.9746,1.06,7.97,-19.27,10.16,0.405,0
18506,3.95707,18.692,1.07,12.22,-5.28,10.47,0.608,0
18684,4.00104,21.3703,1.09,-8.51,-11.59,9.98,0.434,0
18409,3.9358,19.2284,1.12,22.82,-15.1,8.89,1.172,0
22685,4.87833,8.36469,1.12,5.93,-13.25,8.51,1.381,0
24467,5.25162,4.90521,1.12,-4.32,0.14,8.77,-0.151,0
26166,5.57871,5.66088,1.12,-0.96,6.34,6.71,-0.137,0
27135,5.75381,24.4201,1.12,3.46,-5.97,8.22,2.1,0
18025,3.85225,20.5529,1.13,12.14,-8.97,10.74,0.685,0
16593,3.55998,14.6785,1.14,-1.07,-2.11,7.6,1.87,0
21810,4.68503,6.63132,1.14,-1.09,-2.5,8.88,1.789,0
23469,5.04543,5.83049,1.14,2.79,-2.52,9.27,0.115,0
28497,6.01537,17.8902,1.15,3.14,-2.55,8.18,0.98,0
16615,3.5636,10.2338,1.17,11.21,-13.68,8.7,1.879,0
22357,4.81274,19.724,1.17,4.09,-9.24,9.56,0.614,0
22665,4.87496,9.86409,1.18,-2.2,-12.56,7.68,1.298,0
21424,4.59985,4.07083,1.19,18.53,25.08,8.64,1.047,0
23494,5.05058,9.38242,1.19,2.28,-3.18,7.56,-0.013,0
23353,5.02245,15.7444,1.2,1.24,-2.6,7.41,1.668,0
27120,5.751,21.4778,1.21,8.14,-6.13,9.4,0.683,0
14096,3.03052,8.15374,1.22,9.25,-9.37,9.23,1.512,0
16305,3.50352,24.4869,1.22,-3.5,-2.87,9.51,1.081,0
22005,4.73033,3.47789,1.22,0.86,-5.28,8.2,1.171,0
26669,5.66795,11.1756,1.24,0.71,-5.22,8.92,0.092,0
15283,3.28656,15.4066,1.25,-10.87,-25.82,8.48,1.14,0
24229,5.20217,6.85983,1.26,4.3,-4.27,7.6,1.624,0
25936,5.53501,21.0573,1.26,7.29,-14.37,9.81,0.42,0
14496,3.12077,5.01986,1.27,-5.46,5.56,8.4,1.457,0
14675,3.15997,19.0317,1.27,0.3,1.61,9.01,0.903,0
25201,5.39167,16.0425,1.28,3.67,-3.39,8.28,0.154,0
27587,5.84163,13.3834,1.28,-1.27,-5.87,8.75,0.109,0
17708,3.79285,16.7059,1.29,1.28,2.98,8.44,1.2,0
17444,3.73718,9.69682,1.31,3.67,-8.7,9.38,1,0
28425,6.00271,19.9909,1.31,-4.4,-4.52,7.89,-0.112,0
28700,6.06112,10.1297,1.31,-5.2,-16.35,8.81,1.018,0
28814,6.08288,4.15867,1.31,0.28,-2.38,5.63,1.041,0
26411,5.62121,19.0105,1.32,-7.6,-16.95,9.39,0.366,0
21371,4.58578,7.77369,1.33,4.37,-11.98,10.68,0.417,0
26684,5.67057,21.286,1.35,-14.36,-10.18,8.57,0.401,0
22161,4.76808,18.8007,1.36,-1.35,-1.32,7.48,1.499,0
26861,5.70294,13.5919,1.36,-5.05,-3.85,8.75,0.063,0
26944,5.71723,22.6757,1.36,-7.25,-6.03,8.3,-0.05,0
