HIP,RA_J2000,DE_J2000,Plx,pmRA,pmDE,Vmag,BV,hyades
25725,5.49344,5.22721,4.98,-2.53,-1.28,8.21,0.013,0
27352,5.79285,3.64005,4.98,8.43,-3.88,8.98,0.359,0
19974,4.28345,11.1898,4.99,4.54,-9.01,10.85,0.437,0
25745,5.49716,18.4162,4.99,4.11,-38.77,7.64,0.101,0
14504,3.12207,8.39561,5.01,-11.19,-13.11,9.04,0.61,0
17557,3.76,13.2474,5.01,-7.59,-5.8,10.1,0.736,0
19048,4.08131,4.79085,5.01,3.41,-12.71,8.8,0.397,0
24151,5.1865,23.0641,5.01,-20.61,-9.99,7.86,0.529,0
19526,4.1831,14.2776,5.02,-22.91,-26.12,8.71,1.328,0
21663,4.65111,10.3989,5.02,1.34,-5.71,9.44,0.5,0
23707,5.09651,17.3809,5.02,-7.95,-68.22,9.06,0.459,0
22756,4.89495,6.01688,5.03,4.65,-4.35,7.51,0.334,0
17031,3.6512,13.683,5.04,43.62,3.42,9.27,0.541,0
18911,4.05294,8.88264,5.04,9.78,6.49,6.65,1.064,0
19519,4.18199,15.9467,5.04,-10.12,-13.64,7.18,0.148,0
22875,4.9206,11.7547,5.05,9.31,-2.45,8.48,1.125,0
23462,5.04355,13.0639,5.05,3.45,-7.61,9.56,0.333,0
24217,5.20034,6.83813,5.05,-31.73,18.77,7.46,1.091,0
18076,3.86415,9.10426,5.06,-23.72,17.01,11.72,1.194,0
25702,5.48865,18.3657,5.06,-12.93,-3.69,6.74,0.12,0
18559,3.97247,24.0811,5.08,17.54,-44.24,7.21,0.035,0
22245,4.78831,5.78822,5.08,14.49,-17.34,6.77,0.018,0
27218,5.76901,18.8606,5.08,8.41,-9.01,7.6,0.403,0
13586,2.91705,11.4914,5.09,-7.12,-47.28,9.08,0.545,0
13824,2.96523,17.8134,5.1,24.49,-10.12,7.03,1.25,0
14319,3.07805,9.02837,5.1,21.06,-13.91,8.45,1.115,0
17752,3.80057,7.12964,5.1,19.4,-1.58,7.87,1.083,0
17804,3.8108,15.5054,5.1,-8.41,-10.09,8.17,0.22,0
21135,4.53068,5.76445,5.1,16.54,-20.4,6.68,0.006,0
20876,4.47324,11.6659,5.11,-12.42,-16.39,7.39,1.38,0
24802,5.3174,9.15796,5.11,-1.35,-20.31,8.47,1.055,0
26306,5.60237,12.4364,5.11,1.62,-21.08,7.16,1.039,0
15854,3.40398,17.5496,5.12,14.28,-53.04,8.1,0,0
22183,4.77252,13.8388,5.12,-17.34,-27.58,10.15,0.909,0
23045,4.95655,11.5098,5.12,1.18,-43.65,10.01,0.614,0
23963,5.15094,20.5156,5.12,-5.54,-18.22,8.41,0.378,0
14792,3.18364,9.98965,5.13,165.72,-22.58,9.65,0.604,0
16269,3.49592,5.80038,5.14,2.95,-14.47,8.52,0.478,0
20631,4.42199,23.788,5.15,5.89,-11.52,8.12,0.184,0
24543,5.26553,21.822,5.15,245.77,16.44,10.24,0.681,0
27895,5.90265,10.2444,5.15,7.02,-7.15,7.04,0.867,0
21240,4.55643,19.8137,5.16,-17.58,-16.4,8.95,1,0
21650,4.64891,11.9973,5.16,-0.63,-6.15,9.05,-0.02,0
14318,3.07796,15.856,5.17,-11.92,-91.94,6.37,1.4,0
18227,3.89683,16.0889,5.17,1.55,-13.44,8.95,0.516,0
19104,4.09504,7.71344,5.17,1.95,-3.77,9.31,0.498,0
20698,4.43371,4.37345,5.17,22.87,-16.01,6.37,1.078,0
23109,4.97263,18.9934,5.17,10.59,-6.26,9.38,0.557,0
21890,4.70564,10.451,5.18,2.03,-2.07,9.88,0.529,0
22327,4.80925,12.9254,5.18,-6.57,-12.59,7.69,0.94,0
25629,5.47481,16.2533,5.18,19.44,-1.67,9.59,0.295,0
18734,4.01314,5.08281,5.2,17.87,-13.41,8.6,0.353,0
24508,5.25716,15.6301,5.2,-6.59,-5.6,9.12,0.155,0
23410,5.03148,19.966,5.21,15.88,-8.64,9.18,0.36,0
25230,5.39604,20.5793,5.21,-2.4,-11.2,8.68,0.47,0
28689,6.05724,3.86245,5.21,-14.92,-67.61,7.1,1.267,0
24921,5.34013,10.8904,5.22,-6.21,-25.58,7.42,0.155,0
24977,5.34906,19.8143,5.22,-3.8,-9.04,6.2,1.229,0
28473,6.01144,14.9569,5.23,-7.51,-19.27,8.17,0.249,0
19466,4.16857,7.69791,5.24,22.64,-20.6,8.64,0.355,0
24524,5.26183,16.0665,5.24,17.74,3.22,10.4,0.534,0
16707,3.58292,19.3128,5.25,32.75,-24.2,9.18,0.434,0
24812,5.31879,14.4929,5.25,-1.62,-6.24,8.61,0.335,0
20546,4.4026,7.44621,5.26,6.05,-31.34,10.59,0.594,0
23035,4.95365,10.8099,5.26,-11.96,-4.45,7.87,0.32,0
23134,4.97827,18.6399,5.26,-7.24,-24.82,9.51,0.559,0
26835,5.69823,4.98818,5.26,-0.78,-12.1,7.67,0.252,0
27029,5.7332,6.9152,5.26,0.68,0.47,8.12,-0.039,0
27486,5.82022,21.136,5.26,3.98,-4.59,7.28,-0.015,0
16219,3.48253,5.14187,5.27,-4.41,-14.44,9.12,0.523,0
17828,3.8152,22.7992,5.27,6.48,-5.79,8.12,0.05,0
19459,4.16724,24.0926,5.27,29.83,-16.24,9.12,0.734,0
17677,3.78709,5.43993,5.28,23.52,-18.89,9.43,0.457,0
20424,4.37504,3.40968,5.28,15.51,-19.28,8.77,0.289,0
21462,4.60925,6.15813,5.28,-2.38,3.8,10.54,0.463,0
26287,5.59762,5.02881,5.28,-7.03,-45.76,7.97,0.519,0
18234,3.89935,4.90021,5.29,19.39,-11.99,10.17,0.471,0
25498,5.45279,24.2122,5.29,-4.35,-9.86,9.26,0.397,0
16362,3.51306,5.36703,5.3,80.03,-8.41,7.03,0.95,0
18473,3.94798,20.0836,5.3,0.71,-11.79,8.79,0.32,0
18983,4.06724,3.84065,5.3,-0.02,-8.54,8,0.057,0
20718,4.43994,8.28741,5.3,11.28,-3.01,10.69,0.432,0
23589,5.07266,21.2779,5.3,15.18,-25.17,6.2,1.324,0
25761,5.5009,23.7587,5.3,1.01,-4.41,8.12,1.097,0
26250,5.59106,21.2943,5.3,-1.09,-22.12,9.24,0.568,0
15038,3.23061,22.2525,5.31,-9.35,-41.29,8.64,0.593,0
17762,3.8026,10.1727,5.31,39.17,16.74,9.3,0.558,0
18947,4.06081,6.79291,5.31,18.01,-11.16,9.71,0.532,0
21027,4.50869,8.32178,5.31,-12.94,-21.7,9.09,0.403,0
15805,3.39367,15.6679,5.32,-5.04,34.43,9.72,0.466,0
19822,4.25029,15.7377,5.32,19.75,-15.91,10.02,0.604,0
22990,4.94653,16.7343,5.32,3.84,-28.38,7.31,1.205,0
23159,4.98256,14.5496,5.32,4.92,-4.02,7.58,0.057,0
24452,5.24584,12.5254,5.32,-4.6,-8.39,8.05,0.153,0
14403,3.09649,18.1798,5.33,-4.76,-0.74,8.51,0.34,0
24632,5.28481,9.92728,5.33,2.34,-5.79,7.48,0.005,0
28558,6.02773,10.911,5.34,-2.46,-6.93,10.09,1.257,0
16464,3.53446,7.56632,5.35,-13.35,-10.79,7.66,0.937,0
21656,4.6497,22.3251,5.35,-6.01,-7.09,9.86,0.514,0
23629,5.0803,13.3089,5.35,0.07,-4.1,7.62,0.028,0
27648,5.85321,8.89856,5.35,-9.24,-8.97,8.24,0.538,0
28216,5.96178,22.5324,5.35,1.51,-3.94,10.77,1.022,0
15918,3.41649,10.01,5.37,87.46,-10.7,7.96,1.034,0
18820,4.03312,18.787,5.37,35.67,-16.75,10.13,0.509,0
18823,4.03419,17.2974,5.37,44.48,-8.98,9.44,0.802,0
20644,4.42418,23.7383,5.37,29.93,14.8,10.76,0.774,0
24634,5.28489,16.3516,5.37,4.92,-27.56,7.43,1.03,0
27302,5.78428,7.58457,5.39,-9.94,2.33,7.85,0.895,0
15298,3.28956,9.10597,5.4,25.51,-1.71,9.28,1.089,0
21942,4.71647,14.8146,5.4,-24.3,11.59,6.69,0.904,0
16802,3.60463,17.8121,5.41,7.43,-4.2,8.6,0.321,0
17657,3.7821,18.284,5.41,6.1,-15.48,8.94,0.485,0
26520,5.6399,18.1362,5.41,3.94,-39,9.33,0.6,0
15555,3.33981,19.8727,5.42,2.82,0.32,6.9,1.223,0
25959,5.53835,17.7436,5.42,7.4,-37.7,7.99,0.476,0
27091,5.74484,12.4153,5.42,13.55,-26.14,6.95,0.938,0
27962,5.9154,5.86077,5.42,0.99,-16.21,6.8,0.007,0
28308,5.98204,20.6764,5.42,-1.82,-13.46,8.17,0.94,0
26539,5.64411,20.0351,5.43,0.23,-30.14,9.34,0.653,0
19970,4.28188,11.484,5.44,-9.92,-2.81,9.44,0.53,0
26248,5.59087,24.0396,5.44,14.98,-20.22,5.37,-0.092,0
24450,5.24557,5.15615,5.45,-7.01,8.74,5.5,1.369,0
20715,4.4392,8.59027,5.46,3.43,-5.46,6.06,-0.01,0
24945,5.34386,20.8299,5.46,-15.27,-8.74,7.71,0.142,0
20508,4.39487,13.8287,5.47,-4.93,-22.14,7.55,1.09,0
14329,3.08046,13.7975,5.48,26.86,-12.84,7.36,0.943,0
25561,5.46328,15.0658,5.48,6.69,-16.86,8.59,0.094,0
27421,5.80621,20.8695,5.48,8.19,-17.88,6.03,-0.051,0
27496,5.82261,23.6247,5.48,34.39,-41.63,9.18,0.64,0
18116,3.87308,18.5977,5.49,-23.11,-31.45,7.94,0.21,0
26631,5.66004,6.88248,5.49,-3.53,-4.66,8.43,0.306,0
18461,3.94511,5.83607,5.5,-19.09,-19.38,10.41,0.844,0
21506,4.61895,10.8418,5.5,-0.34,-11.41,7.53,0.208,0
23339,5.02021,7.86926,5.5,-4.96,-16.99,8.69,0.581,0
16598,3.56082,17.3293,5.51,2.67,-23.71,8.49,0.577,0
17908,3.82977,9.87793,5.51,13.06,-44.31,7.8,1.31,0
24716,5.30113,13.4177,5.51,-14.35,-14.68,7.74,1.587,0
19032,4.07706,16.6274,5.52,-12.88,-4.79,9.2,0.47,0
22490,4.83814,6.94991,5.52,-3.8,4.65,7.22,0.144,0
22805,4.90573,17.6091,5.52,17.67,-23.12,9.59,0.515,0
23674,5.08896,13.001,5.52,-2.03,-5.02,8.7,0.258,0
26238,5.58998,6.76479,5.52,-7.33,2.81,8.47,0.28,0
19478,4.1722,8.41477,5.53,7.13,1.71,8.28,0.228,0
24989,5.3509,4.47806,5.53,3.9,-0.1,8.4,-0.015,0
27594,5.84306,18.9225,5.53,-7.22,-26.18,8.88,0.444,0
17563,3.76123,6.04999,5.54,20.61,-15.61,5.34,-0.099,0
17697,3.79021,12.5082,5.54,11.29,-20.61,8.39,1.229,0
19616,4.20353,20.7452,5.54,16.82,-15.61,9.31,0.587,0
28272,5.97348,23.1559,5.54,-3.88,-22.96,7.6,1.047,0
13641,2.92729,5.49616,5.55,-14.68,-2.23,9.65,0.405,0
28478,6.01214,5.80285,5.55,17.28,-6.18,8.42,0.417,0
19649,4.21043,12.4562,5.56,-5.84,-0.01,9.02,0.574,0
23270,5.00674,24.1627,5.56,-9.81,-11.24,7.84,0.403,0
13762,2.95266,3.6787,5.57,23.72,-18.49,7.59,0.418,0
16551,3.55214,19.3833,5.57,18.01,-30.95,8.07,0.081,0
26313,5.60403,6.64618,5.57,-3.8,-6.29,9.46,0.426,0
28561,6.02823,22.401,5.58,-6.19,-17.4,6.36,-0.071,0
20188,4.32706,10.1214,5.59,-16.92,-40.9,6.31,1.428,0
26644,5.66257,4.43459,5.59,3,-0.58,8,-0.04,0
25297,5.41152,11.5294,5.6,-46.2,-116.6,7.19,1.077,0
16609,3.56291,8.29057,5.61,24.95,-25.99,8.74,0.33,0
28359,5.99216,18.8521,5.61,1.8,-4.9,7.55,0.123,0
16530,3.54752,5.2546,5.62,27.41,-26.49,7.33,0.965,0
22846,4.91522,16.3865,5.62,0.13,-6.72,7.12,0.211,0
21910,4.7113,8.64343,5.63,5.23,-12.59,9.53,0.488,0
24182,5.19254,4.88693,5.63,-0.85,-16.1,8.63,1.129,0
25621,5.47381,22.7425,5.63,-0.46,-35.67,7.21,1.155,0
16109,3.4589,19.1871,5.64,-56.75,-67.2,9.17,0.624,0
25433,5.4396,8.99998,5.64,-20.74,-6.66,7.71,0.044,0
21282,4.56678,7.2723,5.65,-17.77,-12.87,8.79,0.37,0
17038,3.65227,9.14369,5.66,14.46,-35.76,7.76,0.194,0
20390,4.36651,19.5351,5.66,15.45,-12.48,9.81,1.116,0
28432,6.00432,8.95618,5.66,-4.24,-19.65,7.95,0.371,0
23333,5.01889,23.439,5.67,4.63,-11.78,7.78,0.27,0
25678,5.48411,14.744,5.67,21.08,-45.34,10.26,0.681,0
16296,3.50165,11.3875,5.68,10.33,-13,9,0.487,0
16808,3.60596,19.5593,5.68,9.77,-26.1,8.36,0.274,0
24633,5.28484,12.5655,5.68,11.88,-9.98,7.05,1.051,0
25785,5.50553,4.20479,5.68,17.38,-25.34,6.21,1.28,0
18902,4.05183,14.4834,5.7,22.78,-14.6,8.48,0.669,0
13870,2.97742,17.6769,5.71,15.18,-3.76,8.59,0.232,0
15375,3.30421,12.8238,5.71,10.26,-9.47,7.76,0.225,0
18058,3.85983,5.93876,5.71,23.99,12.95,11.82,1.036,0
22653,4.87294,23.7516,5.71,-5.6,-8.69,8.56,1.313,0
14586,3.1392,18.7951,5.72,37.88,-14.33,6.24,1.56,0
15810,3.39438,8.83891,5.72,-8.92,-12.28,10.67,0.584,0
16050,3.44531,6.65972,5.72,-19.02,-31.76,9.62,0.402,0
19200,4.11514,8.19181,5.72,-4.61,9.32,7.94,1.352,0
21467,4.61046,18.7549,5.74,-26.31,-6.42,10.31,0.585,0
28323,5.98412,15.3149,5.74,14.82,-71.87,8.16,0.585,0
21102,4.52118,7.45263,5.76,2.41,-10.34,7.82,1.021,0
25077,5.36893,8.00516,5.76,7.35,-10.03,7.89,0.187,0
17771,3.80452,11.1433,5.77,28.25,-29.82,5.08,-0.125,0
18805,4.02948,9.99802,5.77,5.59,1.13,5.67,0.005,0
19085,4.09198,14.2863,5.77,11.32,-36.71,7.3,1.22,0
20756,4.44754,17.0286,5.77,27.27,-52.56,6.86,1.494,0
22267,4.79445,13.1147,5.77,26.25,-2.37,8.73,0.473,0
25555,5.46267,15.8741,5.77,4.39,-21.26,5.52,0.015,0
27428,5.80801,17.4335,5.77,3.8,-8.74,7.29,0.06,0
18315,3.91603,12.9061,5.78,0.64,-6.32,9.45,0.27,0
26240,5.59053,22.4381,5.78,24.66,-26.83,8.35,0.577,0
15072,3.2381,22.9538,5.8,59.19,-8.35,6.76,1.111,0
20025,4.29529,13.8366,5.8,65.11,43.63,6.9,0.993,0
22096,4.75506,24.4101,5.8,-15.08,-2.11,9.05,0.464,0
21993,4.72684,7.46642,5.81,-10.47,-8.32,10.06,0.742,0
26025,5.5525,5.27705,5.81,-17.65,-11.55,8.69,0.348,0
19281,4.13185,16.5306,5.82,-3.09,-13.68,7.6,0.102,0
22753,4.89425,12.9078,5.82,3.32,-90.37,10.18,0.612,0
18787,4.02511,19.8109,5.83,6.07,-18.5,9.34,0.559,0
22239,4.78518,10.0517,5.83,14.98,2.84,7.19,0.16,0
22536,4.85017,24.1227,5.83,-5.16,-10.99,9.9,0.596,0
27652,5.85474,23.9263,5.83,-3.93,-22.89,8.52,0.208,0
17318,3.70715,15.8153,5.84,15.07,-21.2,9.32,0.283,0
22367,4.81563,3.6897,5.84,-15.5,-12.15,7.02,0.034,0
24942,5.34326,15.0593,5.84,1.09,-6.49,8.14,0.124,0
27495,5.82237,21.0391,5.84,0.47,-31.87,9.06,0.406,0
14140,3.03881,19.0855,5.85,1.44,-7.03,9.88,1.115,0
23049,4.96033,17.3922,5.85,69.62,-104.11,9.18,0.708,0
26867,5.70403,8.37354,5.85,-13.03,-16.32,7.96,1.062,0
13756,2.95127,4.50103,5.86,20.77,24.44,6.15,1.623,0
16651,3.57046,3.43228,5.86,-3.12,-35.62,7.51,1.133,0
16979,3.63961,22.4997,5.86,20.33,-43.05,10.09,0.634,0
21996,4.72807,6.66221,5.86,0.89,-10.9,10.43,0.264,0
26487,5.63364,7.54142,5.86,11.39,-14.74,5.87,-0.061,0
28260,5.97124,11.1065,5.86,-1.22,-3.01,9.64,0.087,0
15611,3.35023,8.45105,5.87,-14.74,-15.72,8.14,0.102,0
24181,5.19245,12.67,5.87,24.45,-8.7,10.45,0.45,0
27345,5.79166,4.10019,5.87,-5.12,-4.53,7.65,-0.042,0
22084,4.7511,5.87168,5.89,17.51,-17.3,8.49,0.308,0
27153,5.75628,12.7893,5.89,4.02,-10.17,7.46,0.77,0
13538,2.90579,11.3095,5.9,21.14,-9.51,8.38,0.26,0
27205,5.76689,21.3178,5.91,1.05,-41.14,7.7,0.394,0
14572,3.1357,22.6596,5.92,10.28,-16.52,9.53,0.379,0
14590,3.14024,6.72346,5.92,18.93,21.6,7.65,0.972,0
16830,3.60857,10.1854,5.92,-14.95,-29.57,9.26,0.577,0
20778,4.45097,4.28096,5.92,-4.96,-10.97,9.02,0.121,0
21109,4.52374,4.57529,5.92,0.22,-12.85,8.38,1.008,0
24535,5.26394,19.954,5.92,-1.05,-6.09,8.06,0.554,0
23949,5.14734,19.8599,5.94,6.24,-13.86,6.51,0.903,0
25510,5.45488,19.996,5.94,-3.49,-9.56,9.45,0.408,0
14126,3.0363,7.85583,5.95,28.85,-3.35,10.01,0.51,0
18274,3.90931,13.7709,5.95,10.37,-64,7.55,1.107,0
24548,5.26603,12.0449,5.95,10.49,-19.33,10.39,0.581,0
19665,4.2133,20.7352,5.96,17.32,-24.14,9.17,0.479,0
24657,5.29062,11.7234,5.96,3.16,-30.16,8.53,0.168,0
25726,5.49353,20.0508,5.96,-4.5,-8.69,10.52,0.403,0
19896,4.26774,7.56127,5.97,35.38,-0.73,8.89,0.524,0
27618,5.84761,14.0481,5.97,18.65,11.71,6.59,1.054,0
15546,3.33871,16.4237,5.98,4.94,-7.15,9.25,1.171,0
19103,4.09488,10.0371,5.98,-14.18,6.31,6.72,1.034,0
20139,4.31782,24.0279,5.98,17.27,-13.8,7.86,0.982,0
21761,4.67358,9.50404,5.98,8.3,0.54,10.11,0.56,0
17643,3.78049,11.1841,5.99,97.51,-55.94,8.27,1.072,0
20595,4.41123,12.904,6,-8.64,1.06,7.87,0.411,0
20808,4.4588,7.36955,6,14.38,-15.63,9.83,0.566,0
21776,4.67759,8.67927,6,-9.66,-8.52,12.6,-0.02,0
21334,4.5787,15.2651,6.01,17.46,1.7,12.09,0,0
26767,5.68603,4.23993,6.01,26.09,-10.78,8.81,0.399,0
22667,4.87555,14.2506,6.02,-2.62,-56.13,4.71,1.773,0
17480,3.74552,13.9895,6.03,21.84,-15.98,9.81,0.634,0
19299,4.13728,22.0212,6.04,-40.39,-14.13,8.88,0.475,0
24906,5.33842,19.5782,6.05,5.98,-12.94,6.65,-0.026,0
14804,3.18617,7.17402,6.06,24.32,-14.11,7.84,0.451,0
16627,3.56565,15.6256,6.06,25.96,-36.55,9.57,0.552,0
18718,4.01029,13.8922,6.06,20.65,-12.2,7.31,1.42,0
13638,2.92699,13.1784,6.07,-28.18,-8.61,8.84,0.551,0
14176,3.04685,8.47184,6.07,7.81,-28.63,8.2,1.422,0
22682,4.87808,12.3847,6.09,-1.13,-8.68,7.26,0.146,0
25618,5.47285,18.1017,6.09,-66.82,-63.5,9.35,0.612,0
28647,6.04918,17.6656,6.09,-12.23,-5,7.91,0.96,0
17281,3.70046,14.9222,6.1,-2.26,-2.94,9.47,0.615,0
24993,5.35175,12.4309,6.1,-7.04,-13.44,8.38,1.089,0
17617,3.77396,13.5091,6.11,24.62,-27.24,6.88,0.069,0
17983,3.84378,17.7766,6.11,-4.43,-15.51,9.12,0.479,0
24668,5.29234,22.8292,6.11,-2.76,1.02,8.91,0.47,0
22266,4.79388,13.1158,6.12,-3.72,-36.91,11.97,0,0
24363,5.22719,4.21117,6.12,-0.09,-3.71,8.7,0.043,0
26229,5.58861,19.7529,6.12,10.19,-34.91,8.07,0.304,0
15137,3.25226,14.8966,6.13,2.88,-5.29,10.98,0.048,0
18955,4.06227,22.9443,6.13,19.18,-45.37,9.68,0.57,0
20068,4.30316,9.15552,6.13,11.7,-12.68,10.25,1.22,0
21973,4.7227,12.446,6.13,7.16,-16.53,9.64,0.714,0
22848,4.91566,8.6,6.13,-15.02,-2,6.86,0.15,0
24518,5.25985,8.4413,6.13,-6.33,-8.98,8.17,0.091,0
26886,5.70799,18.9876,6.13,8.49,-21.53,7.31,1.34,0
16314,3.50426,12.9018,6.14,-32.67,-45.33,8.24,1.016,0
18485,3.95106,23.1756,6.14,8.95,-16.98,6.05,0.031,0
19538,4.18499,6.71851,6.14,54.6,-22.39,8.77,0.492,0
22970,4.94266,21.5603,6.14,-3.63,-6.34,9.3,0.509,0
27502,5.82368,18.6181,6.15,33.85,-35.42,7.83,0.358,0
13966,2.99733,11.9778,6.16,6.74,-31.53,9.44,0.725,0
14569,3.13511,17.0274,6.16,-23.47,-1.22,7.67,0.401,0
16152,3.46921,17.1675,6.16,35.76,-30.95,8.33,0.384,0
19367,4.14872,20.386,6.16,23.25,-51.07,9.37,0.587,0
15640,3.35604,23.0078,6.19,-57.02,-28.88,9.81,0.58,0
19634,4.20694,23.5746,6.19,-15.79,-25.53,7.16,1.014,0
28190,5.9577,5.00126,6.19,-11.69,8.74,7.84,0.22,0
13643,2.92785,14.7067,6.2,-13.36,-19.22,7.82,0.202,0
13950,2.99464,9.63544,6.2,43.6,21.66,8.48,1.101,0
17066,3.65794,6.7366,6.2,68.78,-2.92,9.3,0.823,0
20089,4.30684,9.48716,6.2,-2.22,-16.17,6.54,0.165,0
22352,4.81218,21.3158,6.2,-6.85,-16.39,7.03,0.122,0
17899,3.82858,10.5592,6.21,-8.61,-7.3,7.52,0.921,0
24435,5.24231,18.6232,6.21,105.91,-235.74,10.32,0.835,0
26256,5.59185,7.27254,6.21,1.86,-27.67,9.2,0.561,0
25139,5.37983,3.82482,6.22,8.66,-32.95,9.09,0.506,0
16478,3.53665,11.5424,6.23,31.18,-40.99,6.79,0.035,0
14764,3.17744,11.8726,6.24,30.74,-26.98,5.97,-0.061,0
20011,4.29097,16.5907,6.24,-24.14,11.43,8.36,0.505,0
23361,5.02371,15.2442,6.24,-40.03,-29.87,8.02,1.045,0
23382,5.02688,12.3409,6.24,53.1,-116.5,7.66,1.038,0
27746,5.87314,20.6964,6.24,7.92,-19.99,8.19,0.02,0
18222,3.89602,16.9307,6.26,-6.27,14.45,8.27,1.068,0
18762,4.01861,20.1992,6.26,31.67,-79.25,6.76,1.055,0
28337,5.98793,4.46585,6.26,48.04,-19.74,7.98,1.08,0
20169,4.32276,7.16168,6.27,4.52,71.69,10.74,0.656,0
22676,4.87689,17.3335,6.27,16.66,-23.02,9.26,0.583,0
22967,4.9421,15.8138,6.27,49.86,-44.2,9.26,0.584,0
16664,3.57406,24.4644,6.28,2.7,-33.96,5.95,0.123,0
17316,3.70667,21.4735,6.28,24.13,-47.88,9.85,0.55,0
17240,3.69226,10.0818,6.29,-15.23,-19.59,7.25,1.228,0
19262,4.12861,21.2626,6.29,-5.4,-48.19,9.18,0.63,0
23651,5.08298,15.9712,6.29,-5.09,0.25,9.32,0.434,0
27106,5.74812,16.0861,6.29,1.19,-10.37,6.99,0.048,0
17923,3.83279,23.8487,6.3,18.74,-44.35,6.73,0.063,0
16358,3.51262,6.1887,6.31,42.38,-16.79,5.93,0.953,0
20361,4.36057,5.38919,6.31,3.5,4.17,9.1,0.1,0
21864,4.7013,14.3265,6.31,23.56,-10.65,8.77,0.42,0
17021,3.64926,4.76737,6.32,9.44,-4.78,9.88,0.363,0
20941,4.4899,9.53588,6.32,7.73,-22.33,10.56,0.912,0
15670,3.36482,5.69931,6.33,19.56,2.46,9.63,0.631,0
16643,3.5691,21.729,6.33,-1.96,-10.13,9.22,0.347,0
20343,4.35845,4.15688,6.33,16.11,-4.28,10.28,0.501,0
27743,5.87286,14.1718,6.33,-17.46,-2.88,5.6,-0.053,0
14937,3.2101,3.96106,6.34,26.35,-3.91,9.41,0.587,0
22984,4.9455,8.82241,6.34,19.75,0.25,7.49,0.219,0
24368,5.2287,3.58116,6.34,-26.5,-11.18,9.59,0.327,0
18501,3.95628,3.52789,6.35,-2.64,-7.59,10.34,0.552,0
21899,4.70855,17.8778,6.35,21.33,-55.5,10.54,0.577,0
26093,5.56508,14.3056,6.35,-1.96,-5.74,5.6,-0.118,0
26259,5.59216,7.38849,6.35,-7.64,-4.78,9.45,0.412,0
26518,5.63937,8.48731,6.36,-1.12,-6.33,6.72,1.184,0
27385,5.79985,3.9685,6.36,-0.58,-14.6,9.12,0.302,0
18736,4.01372,10.5527,6.37,27.61,-10.97,9.15,0.51,0
22485,4.83709,17.7017,6.37,-7.94,8.31,12.66,-0.06,0
25698,5.48816,10.136,6.37,24.57,-17.58,8.74,1.195,0
28175,5.95295,10.2329,6.37,-3.62,-6.62,9.1,0.341,0
28273,5.97373,23.9676,6.37,1.36,-1.07,10.63,1.01,0
21434,4.60259,8.22575,6.38,-2.55,-13.07,7.7,0.112,0
21266,4.5629,10.5177,6.39,1.79,-9.11,7.88,0.17,0
27513,5.82651,10.724,6.4,20.95,9.91,8.28,0.473,0
27373,5.79768,13.4458,6.41,-3.19,1.85,8.73,1.073,0
13532,2.90488,20.5658,6.42,-9.34,-6.8,7.12,1.26,0
18721,4.0111,20.3033,6.42,21.83,-20.29,9.39,0.487,0
18763,4.01884,8.45992,6.42,-19.04,-8.5,9.2,0.661,0
21341,4.57929,22.6923,6.42,40.31,-28.79,6.78,0.482,0
26201,5.58432,24.2908,6.42,6.59,-12.33,6.82,1.04,0
19176,4.11078,20.3031,6.43,6,-15.4,9.57,0.699,0
26447,5.62713,15.2446,6.43,-3.91,-14.66,7.44,1.043,0
27560,5.83696,4.42341,6.43,7.86,-38.28,5.96,1.361,0
28455,6.00786,22.8997,6.43,10.63,-13.81,7.04,0.111,0
14649,3.15559,20.7611,6.44,51.46,-11.77,6.41,1.241,0
15612,3.35036,19.4763,6.44,63.85,-56.74,7.96,0.594,0
18026,3.8525,5.16639,6.44,7.65,-17.13,9.1,0.387,0
27093,5.7454,3.83141,6.44,-8.41,-6.36,7.64,0.002,0
15380,3.30554,24.0818,6.45,-29.39,-32.84,7.25,1.178,0
20352,4.35913,16.803,6.46,39.1,-105.18,9.17,0.554,0
26914,5.71357,4.8524,6.46,-0.97,-0.25,9.6,0.17,0
26282,5.59623,18.7623,6.47,-29.72,16.22,9.61,0.644,0
21173,4.53933,18.2162,6.48,-19.44,8.03,10.58,0.521,0
19720,4.22627,10.2125,6.49,26.34,-25.19,6.24,0.021,0
22740,4.89219,16.822,6.49,6.8,-26.69,10.42,0.651,0
25656,5.48048,6.00929,6.49,-6.39,5.83,8.03,0.172,0
16393,3.51841,15.7361,6.5,-3.56,-5.96,10.32,0.563,0
17591,3.76841,10.5488,6.5,-11.06,11.06,7.59,1.059,0
25767,5.50243,6.95937,6.5,-3.98,-20.92,8.93,0.256,0
26655,5.66519,13.0227,6.5,-1.17,-5.69,7.09,0.128,0
19280,4.13152,4.29732,6.51,-6.31,-6.59,8.23,0.415,0
28815,6.08306,18.311,6.51,7.89,-12.39,8.94,0.315,0
27214,5.76774,21.2854,6.52,-2.26,-41.8,8.06,0.324,0
27573,5.83996,4.95674,6.52,0.91,-1.22,7.41,0.025,0
18709,4.00757,5.33459,6.53,30.45,-4.39,9.29,0.562,0
18831,4.03689,4.58389,6.53,50.88,-12.86,10.01,0.681,0
21401,4.59419,6.17841,6.54,-25.36,-8.06,10.8,0.598,0
18117,3.87354,12.3788,6.55,6.37,-16.6,9.88,0.578,0
